flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2.91,2.06,2.2,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.93,2.0,2.22,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.9,2.08,2.16,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.09,2.13,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.97,2.11,2.19,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.87,2.1,2.2,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.89,2.03,2.22,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.9,2.1,2.16,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,C
2.78,2.09,2.15,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.85,1.9900000000000002,2.18,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.1,2.18,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.88,2.1,2.2,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.9,2.06,2.21,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.86,2.1,2.24,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.11,2.21,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.96,2.08,2.24,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.83,2.03,2.15,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,C
2.92,1.9799999999999998,2.2,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.96,2.1,2.26,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.91,2.06,2.22,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.88,2.03,2.23,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.83,2.1,2.22,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
3.0,2.08,2.22,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.91,2.06,2.25,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.86,2.02,2.22,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.02,2.18,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.83,1.95,2.22,0.15,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.84,2.0,2.25,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.84,2.09,2.25,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.88,2.05,2.25,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.1,2.2,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.97,2.08,2.12,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.98,2.06,2.23,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.91,1.95,2.15,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.05,2.22,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.88,1.9900000000000002,2.23,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.1,2.2,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.08,2.23,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.89,2.1,2.2,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.81,2.04,2.23,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.06,2.18,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.09,2.23,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.88,2.06,2.23,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.86,2.06,2.23,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.09,2.21,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
3.01,2.06,2.23,0.13,0.25,0.0,0.0,0.0,0.0,0.0,0.0,C
2.93,2.03,2.23,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.1,2.24,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.85,2.05,2.22,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.11,2.2,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.03,2.22,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.11,2.23,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.84,1.9900000000000002,2.18,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.88,2.11,2.2,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,1.9799999999999998,2.23,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.96,2.11,2.15,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.89,2.09,2.11,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.84,1.97,2.15,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.09,2.22,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,C
2.87,2.11,2.25,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.86,2.09,2.23,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.03,2.18,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,C
2.88,2.02,2.21,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.11,2.25,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.84,2.05,2.18,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.93,2.11,2.17,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.02,2.19,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.87,2.03,2.23,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.84,2.03,2.21,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.04,2.2,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.1,2.15,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.91,2.09,2.22,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.95,2.1,2.16,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.87,2.09,2.22,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.93,1.9799999999999998,2.15,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.88,2.09,2.18,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.11,2.12,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.87,2.08,2.23,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,C
2.86,2.09,2.12,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.84,2.01,2.21,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.1,2.16,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
3.04,2.06,2.21,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.93,2.1,2.11,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.93,2.04,2.17,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,C
2.82,2.05,2.22,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.86,2.06,2.11,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.89,2.1,2.2,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.86,2.06,2.24,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.92,2.09,2.17,0.19,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.93,2.06,2.23,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.87,2.1,2.12,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.85,2.06,2.21,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.9,2.03,2.24,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.91,2.04,2.16,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.81,2.03,2.22,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.85,2.05,2.22,0.13,0.25,0.0,0.0,0.0,0.0,0.0,0.0,C
2.92,2.09,2.14,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.94,2.1,2.2,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.93,2.1,2.21,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,C
2.9,2.04,2.2,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.81,2.01,2.22,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.87,2.08,2.19,0.11,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.93,2.1,2.16,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.9,2.02,2.1,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.92,2.09,2.22,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.85,2.09,2.2,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.92,2.06,2.22,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.87,2.1,2.18,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.81,2.05,2.23,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.88,2.09,2.23,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.8,2.08,2.18,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
3.01,2.09,2.2,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.88,1.96,2.22,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.96,2.04,2.27,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.89,2.08,2.23,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
2.84,2.08,2.17,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,C
