flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2.9,1.97,2.0,2.3,3.16,4484.0,15520.0,-300.0,-118.0,104.0,-382.0,J
2.91,1.97,2.0,2.29,3.15,4516.0,15560.0,-216.0,-166.0,-151.0,-425.0,J
2.93,1.9900000000000002,1.92,2.3,3.2,4484.0,15520.0,-280.0,-202.0,-295.0,-418.0,J
2.89,1.97,1.97,2.3,3.2,4628.0,15536.0,-136.0,-234.0,-374.0,-378.0,J
2.92,1.97,1.97,2.31,3.2199999999999998,4452.0,15640.0,-84.0,-206.0,-385.0,-458.0,J
2.91,1.9799999999999998,1.8900000000000001,2.3,3.12,4688.0,15548.0,-156.0,-223.0,-625.0,-566.0,J
2.91,1.9299999999999997,1.97,2.28,2.91,4788.0,15464.0,-160.0,-29.0,-67.0,-477.0,J
2.94,1.96,1.9900000000000002,2.3,3.2099999999999995,4524.0,15716.0,-436.0,-23.0,-265.0,-495.0,J
2.91,1.97,1.9900000000000002,2.29,3.2,4644.0,15640.0,-168.0,19.0,-470.0,-501.0,J
2.88,1.95,2.0,2.3,3.2,4428.0,15676.0,-168.0,160.0,-242.0,-499.0,J
2.91,1.9900000000000002,1.9900000000000002,2.3,3.19,4380.0,15828.0,-312.0,92.0,-871.0,-740.0,J
2.92,1.9299999999999997,2.0,2.3,3.2,4496.0,15624.0,-112.0,296.0,-790.0,-830.0,J
2.93,1.9900000000000002,2.0,2.3,3.2,4904.0,15644.0,-196.0,362.0,-718.0,-847.0,J
2.93,1.96,2.0,2.3,3.2099999999999995,4700.0,15620.0,-16.0,438.0,-499.0,-688.0,J
2.95,1.95,2.0,2.3,3.2199999999999998,4664.0,15668.0,-124.0,574.0,-175.0,-498.0,J
2.93,1.92,1.94,2.3,3.2099999999999995,4652.0,15632.0,-64.0,521.0,-306.0,-478.0,J
2.96,1.95,1.9900000000000002,2.3,3.2099999999999995,4172.0,15592.0,0.0,773.0,24.0,-427.0,J
3.04,1.9799999999999998,1.96,2.3,3.16,4336.0,15540.0,-408.0,640.0,-664.0,-697.0,J
2.83,1.96,2.0,2.3,3.2099999999999995,4576.0,15448.0,-312.0,871.0,-574.0,-680.0,J
2.94,1.9799999999999998,2.0,2.27,3.2,4388.0,15480.0,-256.0,880.0,-445.0,-596.0,J
3.01,1.9900000000000002,2.0,2.28,3.2099999999999995,4456.0,15380.0,-360.0,751.0,-744.0,-613.0,J
2.91,1.8900000000000001,1.94,2.29,3.2199999999999998,4432.0,15252.0,-400.0,847.0,-625.0,-574.0,J
2.95,1.9900000000000002,1.96,2.31,3.15,4260.0,15304.0,-428.0,819.0,-504.0,-566.0,J
