flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2.06,1.82,3.2099999999999995,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.06,1.8900000000000001,3.2,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.87,3.15,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.9,3.1300000000000003,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.09,1.9,3.18,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.03,1.92,3.18,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.04,1.9,3.2199999999999998,0.11,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.12,1.9299999999999997,3.2400000000000007,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.94,3.09,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.92,3.09,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.87,3.2300000000000004,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.2,1.9299999999999997,3.06,0.14,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.91,3.15,0.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,K
2.14,1.8399999999999999,3.18,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.04,1.94,3.17,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.92,3.03,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.06,1.81,3.2199999999999998,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.83,3.04,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.12,1.8500000000000003,3.05,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.09,1.92,3.1400000000000006,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.23,1.92,3.12,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.9,3.19,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.06,1.92,3.2099999999999995,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.03,1.8500000000000003,3.2300000000000004,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.9,3.2,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.09,1.9299999999999997,3.09,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.08,1.8799999999999997,2.97,0.11,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.01,1.92,2.99,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.04,1.9,3.12,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.04,1.95,3.06,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.06,1.91,3.02,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.02,1.9299999999999997,3.1400000000000006,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.03,1.92,3.04,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.92,3.2,0.11,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.9299999999999997,3.04,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.9,3.03,0.11,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.91,3.0,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.91,3.08,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.03,1.91,3.1,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.8799999999999997,3.03,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.06,1.8799999999999997,3.1300000000000003,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.04,1.86,3.17,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.02,1.8500000000000003,3.11,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.04,1.8799999999999997,3.1,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.02,1.91,3.06,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.87,3.15,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.06,1.86,2.97,0.13,0.2,0.0,0.0,0.0,0.0,0.0,0.0,K
2.09,1.8799999999999997,3.16,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.02,1.8399999999999999,3.04,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.06,1.91,3.16,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.9,3.17,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.8500000000000003,3.1,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.04,1.86,3.17,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.06,1.82,3.2,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.9,3.17,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.02,1.9299999999999997,3.16,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.79,3.16,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.8399999999999999,3.18,0.12,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.04,1.92,3.18,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.79,3.1,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.09,1.92,3.1400000000000006,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.91,2.98,0.11,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.1,1.81,3.2099999999999995,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.08,1.92,3.12,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
2.09,1.91,3.17,0.13,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,K
2.05,1.94,3.1,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,K
