flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2.54,2.22,2.2,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,O
2.5,2.23,2.16,0.08,0.22,0.0,0.0,0.0,0.0,0.0,0.0,O
2.56,2.18,2.16,0.09,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.53,2.18,2.22,0.1,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.5,2.15,2.18,0.09,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.51,2.15,2.15,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,O
2.52,2.23,2.1,0.1,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.55,2.15,2.21,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,O
2.67,2.21,2.2,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,O
2.51,2.21,2.22,0.1,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.46,2.19,2.2,0.1,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.49,2.21,2.14,0.08,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.53,2.15,2.2,0.09,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.51,2.19,2.15,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,O
2.54,2.23,2.18,0.1,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.51,2.14,2.18,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,O
2.51,2.22,2.2,0.08,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.47,2.19,2.22,0.1,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
2.5,2.15,2.18,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,O
2.53,2.2,2.1,0.09,0.22999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,O
