flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2.13,1.8900000000000001,2.55,3.3000000000000003,3.2,1132.0,16100.0,1564.0,-526.0,-1070.0,-458.0,V
2.13,1.79,2.59,3.2799999999999994,3.16,1276.0,16100.0,1556.0,-445.0,-709.0,-385.0,V
2.13,1.79,2.53,3.3000000000000003,3.17,1224.0,16104.0,1424.0,-448.0,-548.0,-262.0,V
2.13,1.76,2.61,3.3000000000000003,3.2199999999999998,1388.0,16068.0,1472.0,-518.0,-603.0,-205.0,V
2.13,1.79,2.56,3.3000000000000003,3.2199999999999998,1388.0,16052.0,1500.0,-586.0,-731.0,-114.0,V
2.13,1.7500000000000002,2.58,3.3000000000000003,3.2099999999999995,1252.0,16080.0,1568.0,-613.0,-914.0,-35.0,V
1.94,1.78,2.57,3.3000000000000003,3.2,988.0,16104.0,1356.0,-708.0,-1289.0,-33.0,V
2.13,1.76,2.57,3.3000000000000003,3.2300000000000004,1220.0,15972.0,1592.0,-892.0,-1900.0,-47.0,V
2.13,1.77,2.51,3.3000000000000003,3.16,1076.0,16032.0,1316.0,-789.0,-1484.0,14.0,V
2.11,1.71,2.59,3.3000000000000003,3.18,884.0,16088.0,1704.0,-875.0,-1735.0,68.0,V
2.15,1.76,2.59,3.3000000000000003,3.2199999999999998,1304.0,16128.0,1608.0,-1170.0,-2173.0,-61.0,V
2.15,1.76,2.56,3.3000000000000003,3.19,1488.0,16056.0,1876.0,-836.0,-821.0,234.0,V
2.15,1.69,2.6,3.16,3.2099999999999995,1312.0,15976.0,1904.0,-973.0,-1029.0,226.0,V
2.19,1.8000000000000003,2.6,3.3000000000000003,3.2400000000000007,1176.0,15920.0,1804.0,-785.0,-800.0,389.0,V
2.12,1.8000000000000003,2.56,3.3000000000000003,3.2,1188.0,15932.0,1684.0,-740.0,-734.0,532.0,V
2.15,1.79,2.6,3.3000000000000003,3.2199999999999998,1152.0,15908.0,1832.0,-764.0,-780.0,741.0,V
2.18,1.79,2.55,3.3000000000000003,3.2099999999999995,1016.0,16228.0,1824.0,-693.0,-960.0,794.0,V
2.11,1.79,2.56,3.3000000000000003,3.2,1252.0,15960.0,2116.0,-637.0,-916.0,844.0,V
2.13,1.69,2.61,3.3000000000000003,3.2099999999999995,1304.0,15988.0,1996.0,-665.0,-1161.0,838.0,V
2.18,1.71,2.54,3.3000000000000003,3.2,1240.0,15920.0,2348.0,-455.0,-767.0,926.0,V
2.09,1.79,2.56,3.3000000000000003,3.2300000000000004,1268.0,16028.0,2036.0,-226.0,-649.0,973.0,V
2.13,1.77,2.62,3.3000000000000003,3.2,1308.0,15960.0,2116.0,-270.0,-908.0,1105.0,V
2.13,1.7399999999999998,2.6,3.16,3.2199999999999998,1344.0,16024.0,1868.0,-259.0,-572.0,1291.0,V
2.11,1.79,2.49,3.3000000000000003,3.2199999999999998,1308.0,16156.0,1952.0,-303.0,-703.0,1524.0,V
2.12,1.79,2.57,3.3000000000000003,3.2400000000000007,1436.0,16072.0,1816.0,-225.0,-410.0,1918.0,V
2.15,1.8000000000000003,2.53,3.3000000000000003,3.2300000000000004,1428.0,16012.0,1824.0,-589.0,-1405.0,2020.0,V
2.13,1.8000000000000003,2.6,3.3000000000000003,3.2199999999999998,1692.0,16124.0,1828.0,-383.0,-625.0,2371.0,V
2.09,1.79,2.57,3.3000000000000003,3.2300000000000004,1896.0,16072.0,1748.0,-641.0,-1153.0,2262.0,V
2.15,1.7500000000000002,2.57,3.26,3.2199999999999998,2208.0,15844.0,1772.0,-234.0,-128.0,2568.0,V
2.12,1.73,2.57,3.3000000000000003,3.2,2452.0,15752.0,1296.0,-681.0,-1795.0,2419.0,V
2.09,1.8000000000000003,2.54,3.08,3.06,2716.0,15628.0,2036.0,-35.0,513.0,2888.0,V
2.15,1.79,2.61,3.3000000000000003,3.19,2680.0,15808.0,1668.0,-356.0,-131.0,2597.0,V
2.15,1.7399999999999998,2.6,3.3000000000000003,3.18,2712.0,15844.0,1860.0,-218.0,-75.0,2615.0,V
2.13,1.79,2.59,3.3000000000000003,3.2099999999999995,3044.0,15892.0,1732.0,-198.0,-174.0,2474.0,V
2.11,1.8000000000000003,2.62,3.3000000000000003,3.2199999999999998,3172.0,15724.0,1656.0,-196.0,-56.0,2403.0,V
2.12,1.79,2.62,3.3000000000000003,3.2099999999999995,3360.0,15804.0,1540.0,-378.0,-520.0,2083.0,V
2.13,1.77,2.59,3.08,3.18,3568.0,15836.0,1372.0,-370.0,-494.0,1970.0,V
2.11,1.79,2.5,3.3000000000000003,3.2300000000000004,3948.0,15656.0,1652.0,-444.0,-543.0,1711.0,V
2.13,1.79,2.6,3.3000000000000003,3.18,3856.0,15664.0,1848.0,-383.0,-437.0,1641.0,V
2.17,1.76,2.6,3.3000000000000003,3.15,3748.0,15672.0,1800.0,-530.0,-1067.0,1391.0,V
2.13,1.7399999999999998,2.57,3.3000000000000003,3.2300000000000004,3668.0,15612.0,1988.0,-464.0,-904.0,1344.0,V
2.15,1.78,2.57,3.3000000000000003,3.11,3684.0,15576.0,1940.0,-495.0,-1075.0,1184.0,V
2.09,1.8000000000000003,2.6,3.3000000000000003,3.17,3628.0,15776.0,1964.0,-387.0,-989.0,1180.0,V
