flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2.26,1.66,1.73,3.2,3.06,6288.0,14924.0,1592.0,-639.0,-500.0,41.0,Z
2.31,1.7399999999999998,1.6399999999999997,3.25,3.04,6376.0,14932.0,1708.0,-402.0,130.0,98.0,Z
2.26,1.71,1.7399999999999998,3.2300000000000004,3.01,6232.0,14880.0,1700.0,-338.0,139.0,163.0,Z
2.24,1.7000000000000002,1.71,3.2400000000000007,3.06,6292.0,14952.0,1564.0,-394.0,-107.0,133.0,Z
2.25,1.66,1.7399999999999998,3.2099999999999995,2.86,6328.0,14988.0,1620.0,-381.0,-6.0,160.0,Z
2.28,1.73,1.71,3.2400000000000007,3.05,6196.0,14988.0,1488.0,-338.0,61.0,178.0,Z
2.22,1.71,1.73,3.25,3.06,6328.0,15092.0,1680.0,-350.0,-164.0,146.0,Z
2.28,1.72,1.72,3.19,3.06,6336.0,15104.0,1608.0,-398.0,-242.0,97.0,Z
2.22,1.71,1.7399999999999998,3.2400000000000007,3.0,6252.0,14992.0,1656.0,-369.0,-387.0,99.0,Z
2.2,1.71,1.7399999999999998,3.2099999999999995,3.04,6504.0,14984.0,1720.0,-380.0,-373.0,-36.0,Z
2.24,1.72,1.6200000000000003,3.25,3.07,6464.0,14904.0,1788.0,-370.0,-14.0,-3.0,Z
2.24,1.73,1.73,3.2300000000000004,3.06,6520.0,15084.0,1832.0,-416.0,52.0,42.0,Z
2.24,1.7000000000000002,1.7399999999999998,3.2,3.05,6416.0,15012.0,1632.0,-587.0,-419.0,-16.0,Z
2.26,1.73,1.7000000000000002,3.2400000000000007,3.03,6516.0,14976.0,1784.0,-510.0,-237.0,-32.0,Z
2.26,1.7399999999999998,1.73,3.2400000000000007,3.06,6284.0,15032.0,1580.0,-472.0,-34.0,-5.0,Z
2.24,1.69,1.69,3.17,3.06,6288.0,14932.0,1720.0,-626.0,-644.0,-114.0,Z
2.31,1.7399999999999998,1.71,3.2199999999999998,2.86,6236.0,14948.0,1324.0,-526.0,-529.0,-106.0,Z
2.24,1.71,1.7399999999999998,3.2400000000000007,3.04,6412.0,14912.0,1644.0,-401.0,-533.0,-88.0,Z
2.25,1.73,1.7000000000000002,3.2400000000000007,3.07,6516.0,14872.0,1484.0,-315.0,-194.0,-83.0,Z
2.24,1.7399999999999998,1.7399999999999998,3.2400000000000007,3.05,6420.0,14924.0,1528.0,-253.0,-24.0,-5.0,Z
2.19,1.71,1.73,3.18,2.99,6656.0,14780.0,1016.0,-394.0,-330.0,20.0,Z
2.23,1.7000000000000002,1.73,3.2300000000000004,3.05,6980.0,14988.0,1076.0,-308.0,-119.0,117.0,Z
2.21,1.6399999999999997,1.71,3.2300000000000004,3.06,7192.0,15016.0,440.0,-574.0,-199.0,-41.0,Z
2.01,1.71,1.7000000000000002,3.05,2.89,7432.0,15120.0,148.0,-786.0,-342.0,-141.0,Z
2.29,1.7399999999999998,1.73,3.2199999999999998,3.03,7448.0,15004.0,-88.0,-1014.0,-647.0,-257.0,Z
2.23,1.73,1.71,3.25,3.07,7604.0,14748.0,-592.0,-1181.0,-1236.0,-321.0,Z
2.25,1.73,1.73,3.1400000000000006,3.06,8024.0,14680.0,-640.0,-1461.0,-2069.0,-410.0,Z
2.2,1.68,1.7399999999999998,3.2,3.05,8428.0,14452.0,-1000.0,-1593.0,-2328.0,-427.0,Z
2.24,1.71,1.72,3.2300000000000004,3.06,8316.0,14240.0,-1304.0,-1949.0,-3178.0,-436.0,Z
2.36,1.68,1.6399999999999997,3.2,3.04,8724.0,14436.0,-1220.0,-2696.0,-4001.0,-587.0,Z
2.23,1.71,1.73,3.2400000000000007,3.06,8588.0,14500.0,-1436.0,-2866.0,-4737.0,-544.0,Z
2.25,1.7399999999999998,1.7399999999999998,3.2,3.06,8256.0,14516.0,-1664.0,-3612.0,-6514.0,-676.0,Z
2.25,1.69,1.7399999999999998,3.26,3.04,8108.0,14516.0,-1508.0,-4552.0,-8791.0,-901.0,Z
2.22,1.72,1.73,3.2099999999999995,3.01,8596.0,14516.0,-1028.0,-5561.0,-10175.0,-1179.0,Z
2.24,1.7399999999999998,1.71,3.2,3.05,9184.0,14240.0,-600.0,-5912.0,-9151.0,-1187.0,Z
2.26,1.7399999999999998,1.67,3.25,3.05,8764.0,14608.0,-312.0,-6203.0,-7903.0,-1158.0,Z
2.24,1.7399999999999998,1.7000000000000002,3.2199999999999998,2.9,8532.0,14888.0,-52.0,-6696.0,-7554.0,-1353.0,Z
2.26,1.72,1.7399999999999998,3.25,3.01,8476.0,15108.0,816.0,-7314.0,-7249.0,-1577.0,Z
2.25,1.73,1.67,3.25,3.03,7916.0,15136.0,1096.0,-7490.0,-6272.0,-1709.0,Z
2.23,1.73,1.7000000000000002,3.2099999999999995,3.02,7148.0,14948.0,1364.0,-7768.0,-6462.0,-2016.0,Z
2.22,1.73,1.73,3.2199999999999998,3.03,6928.0,14840.0,1636.0,-7905.0,-6860.0,-2228.0,Z
2.24,1.7399999999999998,1.71,3.2400000000000007,3.06,6756.0,14788.0,2236.0,-7963.0,-7291.0,-2388.0,Z
2.23,1.7399999999999998,1.73,3.25,3.08,6592.0,14780.0,2296.0,-7909.0,-7236.0,-2599.0,Z
