timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1616163956.4559574,002,54.0,-3.0,-30.0,-7.0,91.0,0.827087,0.124268,-0.548157,-0.003479,-0.007634,0.007634,-0.007634,8.886035,2.073169,3.459668,0.008374,0.020337,-0.14834,0.135181,0.047852,-0.04187
1616163956.4652913,002,54.0,-3.0,-27.0,-10.0,90.0,0.827148,0.124329,-0.548035,-0.003479,0.0,0.007634,-0.007634,8.858521,2.071973,3.450098,-0.016748,0.017944,-0.159106,0.135181,0.05144,-0.069385
1616163956.47583,002,55.0,-4.0,-29.0,-8.0,92.0,0.827148,0.124451,-0.547974,-0.003479,0.007634,0.0,-0.007634,8.810669,2.06958,3.444116,-0.0646,0.014355,-0.166284,0.122021,0.056226,-0.11604
1616163956.4858353,002,54.0,-4.0,-28.0,-8.0,90.0,0.827087,0.124634,-0.548035,-0.003418,0.007634,-0.007634,0.0,8.761621,2.064795,3.423779,-0.113647,0.007178,-0.184229,0.120825,0.059814,-0.168677
1616163956.4952002,002,54.0,-2.0,-27.0,-9.0,92.0,0.826904,0.124695,-0.548279,-0.003357,0.0,-0.022901,0.0,8.756836,2.089917,3.424976,-0.120825,0.0323,-0.177051,0.107666,0.08374,-0.16748
1616163956.5058746,002,54.0,-5.0,-30.0,-9.0,89.0,0.826721,0.124634,-0.548584,-0.003357,-0.007634,-0.022901,0.0,8.811865,2.092309,3.447705,-0.068188,0.035889,-0.14834,0.101685,0.07417,-0.107666
1616163956.5158157,002,54.0,-1.0,-27.0,-10.0,90.0,0.826599,0.124451,-0.548828,-0.003357,-0.015267,-0.015267,0.007634,8.857325,2.07915,3.439331,-0.025122,0.026318,-0.151929,0.124414,0.058618,-0.071777
1616163956.5257673,002,55.0,-5.0,-45.0,-12.0,94.0,0.826538,0.124268,-0.54895,-0.003296,-0.015267,-0.007634,0.007634,8.880054,2.034888,3.422583,-0.004785,-0.013159,-0.16748,0.151929,0.021533,-0.068188
1616163956.535869,002,54.0,-4.0,-26.0,-7.0,92.0,0.826538,0.124146,-0.54895,-0.003174,-0.007634,0.0,0.0,8.886035,1.996606,3.41062,0.0,-0.047852,-0.179443,0.168677,-0.00957,-0.075366
1616163956.5454462,002,54.0,-3.0,-28.0,-10.0,91.0,0.826538,0.124146,-0.54895,-0.003052,0.007634,0.007634,0.0,8.845362,1.959522,3.384302,-0.039478,-0.08374,-0.205762,0.181836,-0.033496,-0.128003
