timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1616261999.6337044,003,-33.0,-4.0,-19.0,-9.0,-5.0,0.939575,0.124268,-0.316833,-0.037292,0.0,-0.015267,-0.015267,5.658447,2.433252,7.701709,-0.084937,-0.086133,0.171069,-0.169873,-0.10647,0.058618
1616261999.6437166,003,-36.0,-4.0,-18.0,-8.0,-5.0,0.939514,0.124329,-0.316895,-0.037476,0.0,-0.015267,-0.015267,5.664429,2.429663,7.702905,-0.078955,-0.092114,0.173462,-0.166284,-0.112451,0.062207
1616261999.653769,003,-32.0,-2.0,-16.0,-9.0,-1.0,0.939453,0.124451,-0.316956,-0.037659,0.0,-0.015267,-0.015267,5.687158,2.453589,7.704102,-0.056226,-0.071777,0.177051,-0.150732,-0.098096,0.08374
1616261999.6635892,003,-39.0,-3.0,-18.0,-10.0,-4.0,0.939392,0.124512,-0.317017,-0.037903,-0.007634,-0.007634,-0.022901,5.717065,2.481103,7.693335,-0.026318,-0.046655,0.16748,-0.120825,-0.075366,0.100488
1616261999.6736517,003,-35.0,-3.0,-18.0,-9.0,-6.0,0.939392,0.124451,-0.317078,-0.038208,-0.015267,-0.007634,-0.022901,5.748169,2.489478,7.671802,0.002393,-0.038281,0.145947,-0.086133,-0.066992,0.102881
1616261999.6836267,003,-36.0,-1.0,-16.0,-7.0,-3.0,0.939392,0.124329,-0.317017,-0.038574,-0.022901,0.0,-0.022901,5.788843,2.483496,7.638306,0.045459,-0.044263,0.111255,-0.029907,-0.071777,0.100488
1616261999.6936944,003,-35.0,-4.0,-17.0,-9.0,-6.0,0.939453,0.124146,-0.316956,-0.038879,-0.022901,0.0,-0.022901,5.816358,2.446411,7.583276,0.07417,-0.080151,0.053833,0.026318,-0.099292,0.063403
1616261999.703502,003,-35.0,-2.0,-22.0,-9.0,-6.0,0.939514,0.123962,-0.316895,-0.039124,-0.015267,0.007634,-0.015267,5.840283,2.435645,7.528247,0.099292,-0.089722,-0.001196,0.080151,-0.100488,0.033496
1616261999.7135167,003,-36.0,-4.0,-18.0,-8.0,-3.0,0.939514,0.12384,-0.316772,-0.039429,-0.015267,0.007634,-0.022901,5.865405,2.454785,7.486377,0.126807,-0.069385,-0.045459,0.128003,-0.076563,0.020337
1616261999.7239308,003,-35.0,-5.0,-15.0,-7.0,-5.0,0.939575,0.123779,-0.31665,-0.039673,-0.015267,0.007634,-0.022901,5.898901,2.461963,7.454077,0.162695,-0.063403,-0.078955,0.177051,-0.069385,0.017944
1616261999.7336416,003,-35.0,-3.0,-16.0,-11.0,-5.0,0.939636,0.123657,-0.316528,-0.039795,-0.015267,0.015267,-0.015267,5.935987,2.488281,7.438525,0.202173,-0.035889,-0.096899,0.218921,-0.045459,0.033496
1616261999.7437036,003,-35.0,-1.0,-16.0,22.0,-5.0,0.939697,0.123535,-0.316284,-0.039856,-0.015267,0.022901,-0.007634,5.964697,2.549292,7.437329,0.235669,0.026318,-0.101685,0.248828,0.00957,0.065796
1616261999.7536373,003,-35.0,-1.0,-18.0,-8.0,0.0,0.93988,0.123352,-0.315918,-0.039917,-0.022901,0.022901,-0.007634,5.975464,2.60791,7.427759,0.251221,0.087329,-0.117236,0.270361,0.069385,0.077759
1616261999.763432,003,-33.0,0.0,-16.0,-8.0,-3.0,0.940002,0.123169,-0.315552,-0.039978,-0.022901,0.030534,0.0,5.983838,2.642602,7.419385,0.265576,0.12561,-0.130396,0.289502,0.107666,0.086133
1616261999.773639,003,-32.0,-2.0,-18.0,-8.0,-5.0,0.940186,0.122925,-0.315186,-0.039978,-0.022901,0.030534,0.0,5.985034,2.670117,7.42417,0.272754,0.15791,-0.131592,0.295483,0.137573,0.096899
1616261999.7835052,003,-38.0,-2.0,-17.0,-7.0,-6.0,0.940308,0.122742,-0.314819,-0.039917,-0.022901,0.030534,0.0,5.982642,2.701221,7.442114,0.276343,0.192603,-0.118433,0.290698,0.16748,0.118433
1616261999.7935684,003,-35.0,-1.0,-16.0,-12.0,-4.0,0.940491,0.12262,-0.314392,-0.039856,-0.022901,0.030534,0.0,5.968286,2.745483,7.472022,0.267969,0.239258,-0.095703,0.270361,0.209351,0.142358
1616261999.803806,003,-33.0,-3.0,-18.0,-8.0,-4.0,0.940613,0.122498,-0.313965,-0.039795,-0.022901,0.030534,0.007634,5.945557,2.781372,7.499536,0.252417,0.277539,-0.072974,0.244043,0.244043,0.160303
1616261999.8135881,003,-33.0,-4.0,-19.0,-8.0,-6.0,0.940796,0.122314,-0.313599,-0.039673,-0.022901,0.022901,0.007634,5.906079,2.804101,7.533032,0.217725,0.303857,-0.045459,0.19978,0.269165,0.168677
1616261999.8235552,003,-35.0,-4.0,-18.0,-11.0,-4.0,0.940918,0.122131,-0.313293,-0.039551,-0.022901,0.015267,0.007634,5.861816,2.804101,7.56294,0.178247,0.308643,-0.020337,0.153125,0.275146,0.165088
