timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1616397356.9045548,004,51.0,21.0,1.0,89.0,61.0,0.675842,0.065857,-0.733398,-0.031738,-0.007634,0.007634,-0.007634,9.561938,1.321899,-0.986938,-0.111255,-0.005981,-0.159106,0.166284,0.015552,-0.096899
1616397356.9145172,004,49.0,17.0,-3.0,68.0,58.0,0.675903,0.065918,-0.733337,-0.031799,0.0,0.007634,-0.007634,9.555957,1.303955,-1.024023,-0.117236,-0.026318,-0.197388,0.206958,-0.001196,-0.101685
1616397356.9245515,004,56.0,19.0,4.0,84.0,59.0,0.675964,0.066101,-0.733276,-0.031738,0.007634,0.007634,-0.015267,9.494946,1.274048,-1.073071,-0.178247,-0.057422,-0.247632,0.263184,-0.020337,-0.162695
1616397356.934392,004,48.0,14.0,-4.0,64.0,58.0,0.675903,0.066406,-0.733276,-0.031555,0.015267,0.0,-0.015267,9.433935,1.270459,-1.09939,-0.238062,-0.062207,-0.272754,0.293091,-0.015552,-0.220117
1616397356.944476,004,51.0,15.0,-2.0,89.0,58.0,0.675842,0.066833,-0.733398,-0.031372,0.022901,-0.007634,-0.015267,9.41958,1.295581,-1.094604,-0.253613,-0.040674,-0.265576,0.285913,0.005981,-0.233276
1616397356.9546156,004,51.0,19.0,-3.0,76.0,58.0,0.675659,0.0672,-0.733459,-0.031067,0.030534,-0.007634,-0.007634,9.396851,1.317114,-1.132886,-0.275146,-0.019141,-0.299072,0.319409,0.0323,-0.247632
1616397356.9643602,004,51.0,21.0,-2.0,86.0,63.0,0.675476,0.067566,-0.733643,-0.030701,0.030534,-0.007634,0.0,9.331055,1.362573,-1.163989,-0.340942,0.026318,-0.324194,0.346924,0.088525,-0.305054
1616397356.974314,004,51.0,16.0,-3.0,78.0,58.0,0.67511,0.06781,-0.733948,-0.030334,0.022901,-0.022901,0.007634,9.21023,1.372144,-1.172363,-0.460571,0.038281,-0.322998,0.355298,0.117236,-0.421094
1616397356.9844499,004,54.0,20.0,8.0,45.0,61.0,0.674561,0.067932,-0.734497,-0.029846,0.030534,-0.045802,0.015267,9.1552,1.364966,-1.147241,-0.515601,0.037085,-0.282324,0.319409,0.122021,-0.478516
1616397356.9943492,004,57.0,19.0,-4.0,84.0,56.0,0.673889,0.068115,-0.735107,-0.029297,0.030534,-0.061069,0.015267,9.209033,1.421191,-1.095801,-0.460571,0.099292,-0.212939,0.242847,0.172266,-0.421094
1616397357.0044394,004,52.0,17.0,-6.0,82.0,61.0,0.673218,0.068237,-0.735718,-0.028992,0.015267,-0.053435,0.015267,9.299952,1.501343,-1.073071,-0.368457,0.181836,-0.172266,0.19021,0.239258,-0.322998
1616397357.0144155,004,51.0,15.0,-1.0,83.0,59.0,0.672668,0.068298,-0.736206,-0.028931,0.0,-0.045802,0.007634,9.427954,1.532446,-1.068286,-0.239258,0.214136,-0.153125,0.159106,0.252417,-0.192603
1616397357.0244293,004,56.0,21.0,-1.0,89.0,59.0,0.672363,0.068237,-0.736511,-0.028992,-0.007634,-0.015267,0.0,9.575098,1.454687,-1.088623,-0.090918,0.136377,-0.165088,0.162695,0.155518,-0.055029
1616397357.0344152,004,53.0,15.0,-3.0,83.0,58.0,0.672363,0.068298,-0.73645,-0.028931,0.007634,0.015267,-0.015267,9.648071,1.366162,-1.137671,-0.017944,0.047852,-0.215332,0.211743,0.059814,0.008374
1616397357.0445397,004,56.0,20.0,2.0,83.0,62.0,0.672607,0.068665,-0.736267,-0.028809,0.015267,0.030534,-0.022901,9.634912,1.357788,-1.158008,-0.0323,0.035889,-0.240454,0.239258,0.05144,-0.003589
1616397357.0544949,004,51.0,13.0,-4.0,80.0,59.0,0.672913,0.069153,-0.735901,-0.028809,0.015267,0.030534,-0.022901,9.595434,1.396069,-1.168774,-0.070581,0.068188,-0.259595,0.259595,0.089722,-0.035889
1616397357.0646904,004,52.0,20.0,-1.0,88.0,62.0,0.673279,0.06958,-0.735535,-0.028931,0.007634,0.038168,-0.030534,9.533228,1.385303,-1.185522,-0.132788,0.049048,-0.285913,0.291895,0.081348,-0.096899
1616397357.0743604,004,54.0,17.0,-4.0,79.0,59.0,0.673523,0.069946,-0.735291,-0.028931,0.007634,0.022901,-0.022901,9.439917,1.332666,-1.204663,-0.226099,-0.007178,-0.311035,0.327783,0.040674,-0.194995
1616397357.08461,004,54.0,20.0,0.0,80.0,65.0,0.673584,0.070374,-0.735168,-0.028809,0.015267,0.007634,-0.015267,9.383692,1.325488,-1.187915,-0.282324,-0.017944,-0.29668,0.319409,0.037085,-0.253613
1616397357.0942886,004,54.0,17.0,-2.0,80.0,65.0,0.673523,0.07074,-0.735229,-0.028687,0.015267,-0.007634,-0.007634,9.325073,1.33147,-1.178345,-0.340942,-0.015552,-0.284717,0.312231,0.047852,-0.312231
1616397357.1043823,004,54.0,15.0,-1.0,84.0,63.0,0.673218,0.070984,-0.735474,-0.028442,0.015267,-0.022901,0.0,9.31311,1.336255,-1.149634,-0.351709,-0.00957,-0.247632,0.275146,0.053833,-0.325391
1616397357.114343,004,53.0,16.0,-1.0,82.0,59.0,0.672852,0.071106,-0.735779,-0.028198,0.015267,-0.030534,0.0,9.384888,1.368555,-1.110156,-0.278735,0.023926,-0.198584,0.218921,0.072974,-0.252417
1616397357.1242344,004,54.0,21.0,-1.0,89.0,60.0,0.672607,0.071228,-0.736023,-0.028076,0.007634,-0.015267,0.0,9.498535,1.37334,-1.095801,-0.165088,0.028711,-0.178247,0.189014,0.061011,-0.141162
1616397357.1342235,004,54.0,17.0,-7.0,83.0,59.0,0.672607,0.07135,-0.736023,-0.027893,0.007634,0.0,0.0,9.599024,1.344629,-1.088623,-0.0646,0.001196,-0.169873,0.173462,0.019141,-0.046655
1616397357.1443589,004,60.0,17.0,-1.0,87.0,65.0,0.672791,0.071594,-0.73584,-0.027649,0.015267,0.022901,-0.007634,9.660034,1.326685,-1.075464,-0.003589,-0.015552,-0.161499,0.161499,-0.004785,0.008374
1616397357.1542206,004,53.0,19.0,-2.0,83.0,59.0,0.673218,0.071838,-0.735474,-0.027405,0.015267,0.038168,-0.007634,9.663623,1.314722,-1.058716,-0.002393,-0.027515,-0.155518,0.155518,-0.017944,0.007178
1616397357.1636326,004,57.0,17.0,-1.0,86.0,62.0,0.673767,0.072083,-0.734924,-0.027222,0.007634,0.045802,-0.015267,9.612183,1.314722,-1.03479,-0.053833,-0.028711,-0.145947,0.150732,-0.011963,-0.043066
1616397357.1744778,004,53.0,16.0,-2.0,79.0,58.0,0.674255,0.072266,-0.734436,-0.0271,0.0,0.045802,-0.007634,9.473413,1.332666,-1.021631,-0.193799,-0.011963,-0.145947,0.161499,0.023926,-0.179443
