timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1617019199.8472931,006,76.0,58.0,82.0,90.0,49.0,0.824768,0.020081,-0.565063,0.007263,-0.015267,0.007634,-0.007634,9.100171,0.218921,3.038574,-0.037085,-0.025122,-0.494067,0.447412,-0.003589,-0.212939
1617019199.8572028,006,74.0,58.0,82.0,97.0,59.0,0.824768,0.019958,-0.565063,0.007202,-0.007634,0.015267,-0.007634,9.112134,0.185425,3.040967,-0.025122,-0.057422,-0.492871,0.451001,-0.035889,-0.202173
1617019199.867332,006,77.0,58.0,82.0,101.0,58.0,0.824829,0.02002,-0.564941,0.007324,0.0,0.015267,0.0,9.120508,0.179443,3.080444,-0.015552,-0.062207,-0.45459,0.419897,-0.043066,-0.179443
1617019199.8770998,006,76.0,58.0,80.0,94.0,58.0,0.825012,0.020081,-0.564758,0.007446,0.007634,0.022901,0.0,9.090601,0.192603,3.139062,-0.044263,-0.049048,-0.401953,0.360083,-0.031104,-0.186621
1617019199.8872776,006,75.0,58.0,82.0,95.0,58.0,0.825134,0.020142,-0.564514,0.007568,0.0,0.015267,0.0,9.014038,0.246436,3.215625,-0.118433,0.003589,-0.330176,0.26438,0.017944,-0.229687
1617019199.8974264,006,75.0,57.0,81.0,96.0,60.0,0.825256,0.020203,-0.564331,0.007507,-0.007634,0.007634,0.0,8.932691,0.324194,3.306543,-0.197388,0.080151,-0.242847,0.150732,0.092114,-0.269165
1617019199.9071512,006,75.0,58.0,81.0,94.0,58.0,0.825317,0.020142,-0.564209,0.007324,-0.022901,0.0,-0.007634,8.890821,0.374438,3.398657,-0.238062,0.129199,-0.153125,0.05144,0.137573,-0.27395
1617019199.9171934,006,77.0,58.0,79.0,96.0,59.0,0.825378,0.019897,-0.564209,0.007019,-0.022901,-0.007634,-0.007634,8.851343,0.330176,3.453686,-0.278735,0.084937,-0.099292,-0.010767,0.090918,-0.293091
1617019199.9272602,006,76.0,59.0,82.0,92.0,58.0,0.825378,0.019714,-0.564209,0.006897,-0.015267,-0.007634,-0.007634,8.84895,0.235669,3.499146,-0.281128,-0.005981,-0.053833,-0.05144,0.0,-0.281128
1617019199.9371858,006,75.0,58.0,84.0,94.0,58.0,0.825378,0.019714,-0.564209,0.007019,0.007634,0.0,-0.007634,8.863306,0.186621,3.518286,-0.266772,-0.053833,-0.034692,-0.062207,-0.049048,-0.261987
1617019199.9472218,006,77.0,58.0,80.0,98.0,61.0,0.825439,0.019836,-0.564087,0.00708,0.007634,0.0,-0.007634,8.83938,0.198584,3.538623,-0.289502,-0.043066,-0.016748,-0.087329,-0.038281,-0.276343
1617019199.957208,006,75.0,58.0,80.0,96.0,62.0,0.8255,0.020081,-0.563965,0.007141,0.007634,0.0,-0.007634,8.783154,0.242847,3.555371,-0.343335,-0.002393,-0.002393,-0.122021,0.001196,-0.320605
1617019199.9671707,006,77.0,57.0,82.0,94.0,58.0,0.8255,0.020203,-0.563965,0.00708,0.0,-0.015267,-0.007634,8.741284,0.294287,3.560156,-0.385205,0.045459,0.002393,-0.143555,0.049048,-0.356494
1617019199.9772055,006,75.0,58.0,84.0,99.0,58.0,0.825439,0.020264,-0.564087,0.006897,-0.015267,-0.015267,-0.007634,8.749659,0.330176,3.514697,-0.379224,0.077759,-0.040674,-0.101685,0.082544,-0.364868
1617019199.987266,006,76.0,58.0,82.0,95.0,58.0,0.825256,0.020203,-0.564331,0.006714,-0.015267,-0.022901,-0.007634,8.779566,0.299072,3.439331,-0.350513,0.045459,-0.110059,-0.025122,0.053833,-0.364868
1617019199.9971538,006,74.0,58.0,82.0,98.0,59.0,0.825073,0.020142,-0.564575,0.006714,0.0,-0.022901,-0.007634,8.815454,0.252417,3.373535,-0.317017,0.0,-0.169873,0.043066,0.00957,-0.356494
1617019200.007095,006,67.0,58.0,82.0,95.0,59.0,0.824951,0.020264,-0.564819,0.006714,0.0,-0.015267,-0.007634,8.890821,0.257202,3.322095,-0.244043,0.003589,-0.216528,0.112451,0.014355,-0.305054
1617019200.0172365,006,77.0,59.0,83.0,95.0,61.0,0.82489,0.020325,-0.56488,0.006653,-0.007634,0.0,-0.007634,8.945849,0.282324,3.277832,-0.189014,0.026318,-0.259595,0.172266,0.038281,-0.269165
1617019200.027117,006,80.0,58.0,83.0,96.0,58.0,0.82489,0.020264,-0.564941,0.006592,-0.007634,0.007634,0.0,8.945849,0.261987,3.228784,-0.19021,0.007178,-0.307446,0.216528,0.021533,-0.287109
1617019200.0370898,006,76.0,58.0,82.0,96.0,58.0,0.824829,0.020203,-0.564941,0.006653,-0.007634,0.0,0.0,8.95542,0.227295,3.180933,-0.179443,-0.025122,-0.354102,0.265576,-0.008374,-0.295483
1617019200.0471733,006,79.0,59.0,81.0,96.0,60.0,0.824768,0.020203,-0.565063,0.006714,0.0,0.0,0.0,9.010449,0.217725,3.1594,-0.12561,-0.033496,-0.373242,0.302661,-0.015552,-0.252417
1617019200.0572665,006,80.0,58.0,81.0,92.0,58.0,0.824768,0.020264,-0.565063,0.006836,0.0,0.007634,0.0,9.026001,0.235669,3.148633,-0.110059,-0.015552,-0.384009,0.318213,0.001196,-0.240454
1617019200.067025,006,76.0,58.0,86.0,95.0,59.0,0.824768,0.020203,-0.565063,0.006836,-0.007634,0.0,0.0,8.998487,0.259595,3.153418,-0.137573,0.008374,-0.379224,0.302661,0.025122,-0.26438
1617019200.077079,006,76.0,58.0,84.0,98.0,58.0,0.824768,0.020081,-0.565063,0.006714,-0.015267,0.0,-0.007634,9.008057,0.288306,3.162988,-0.128003,0.037085,-0.369653,0.29668,0.052637,-0.251221
1617019200.0872188,006,75.0,58.0,82.0,92.0,59.0,0.824707,0.019836,-0.565125,0.00647,-0.022901,0.0,-0.007634,9.049927,0.27395,3.172559,-0.087329,0.023926,-0.358887,0.301465,0.038281,-0.209351
1617019200.0972953,006,75.0,58.0,82.0,96.0,60.0,0.824768,0.019592,-0.565125,0.006348,-0.022901,0.007634,-0.007634,9.064282,0.223706,3.170166,-0.072974,-0.021533,-0.362476,0.311035,-0.005981,-0.198584
1617019200.1070971,006,73.0,58.0,81.0,96.0,58.0,0.824829,0.01947,-0.565063,0.006348,-0.007634,0.007634,0.0,9.054712,0.185425,3.189307,-0.082544,-0.058618,-0.344531,0.293091,-0.043066,-0.202173
1617019200.117281,006,76.0,58.0,84.0,99.0,58.0,0.82489,0.019531,-0.56488,0.006409,0.007634,0.007634,0.0,9.035571,0.168677,3.234766,-0.099292,-0.075366,-0.302661,0.247632,-0.062207,-0.203369
1617019200.1271372,006,75.0,59.0,81.0,99.0,59.0,0.825012,0.019653,-0.564758,0.006531,0.007634,0.007634,-0.007634,9.003271,0.203369,3.290991,-0.130396,-0.04187,-0.250024,0.186621,-0.029907,-0.212939
1617019200.1369834,006,77.0,58.0,84.0,94.0,60.0,0.825134,0.019897,-0.564514,0.006653,0.007634,0.007634,-0.007634,8.938672,0.247632,3.356787,-0.192603,0.0,-0.189014,0.105273,0.00957,-0.247632
1617019200.1471217,006,55.0,58.0,82.0,95.0,60.0,0.825195,0.02002,-0.564392,0.006592,0.0,0.0,-0.007634,8.850146,0.278735,3.424976,-0.279932,0.027515,-0.122021,0.010767,0.034692,-0.303857
1617019200.1571343,006,79.0,58.0,81.0,99.0,58.0,0.825195,0.020142,-0.564453,0.006531,-0.007634,-0.015267,-0.007634,8.810669,0.314624,3.495557,-0.320605,0.061011,-0.05144,-0.069385,0.065796,-0.314624
