timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1617445233.7826378,007,41.0,3.0,-31.0,-38.0,-31.0,0.60144,-0.072754,-0.795593,-0.002197,0.022901,-0.030534,0.0,8.789136,-0.784766,-2.83999,-0.592163,0.038281,-0.129199,0.284717,-0.040674,-0.533545
1617445233.7924652,007,40.0,1.0,-33.0,-39.0,-28.0,0.600952,-0.072571,-0.795959,-0.001953,0.007634,-0.030534,0.0,8.719751,-0.765625,-2.86272,-0.657959,0.058618,-0.141162,0.317017,-0.028711,-0.594556
1617445233.8025856,007,38.0,1.0,-32.0,-39.0,-29.0,0.600464,-0.072449,-0.796326,-0.00177,0.007634,-0.030534,-0.007634,8.708984,-0.794336,-2.884253,-0.665137,0.029907,-0.150732,0.325391,-0.058618,-0.595752
1617445233.8125014,007,40.0,4.0,-33.0,-38.0,-28.0,0.600159,-0.072266,-0.796631,-0.001526,0.015267,-0.022901,-0.007634,8.717359,-0.839795,-2.905786,-0.655566,-0.013159,-0.165088,0.332568,-0.101685,-0.579004
1617445233.8224792,007,38.0,3.0,-32.0,-39.0,-28.0,0.599976,-0.07196,-0.796753,-0.001221,0.022901,-0.007634,-0.015267,8.746069,-0.893628,-2.905786,-0.624463,-0.065796,-0.161499,0.314624,-0.149536,-0.545508
1617445233.8325148,007,39.0,5.0,-32.0,-39.0,-27.0,0.600098,-0.071472,-0.796753,-0.000793,0.038168,0.015267,-0.015267,8.75205,-0.939087,-2.909375,-0.619678,-0.110059,-0.166284,0.312231,-0.192603,-0.535937
1617445233.8426032,007,41.0,0.0,-31.0,-38.0,-27.0,0.600342,-0.070862,-0.79657,-0.000183,0.053435,0.022901,-0.015267,8.712573,-0.955835,-2.908179,-0.660352,-0.124414,-0.172266,0.327783,-0.211743,-0.571826
1617445233.8524032,007,39.0,4.0,-33.0,-38.0,-27.0,0.600708,-0.070068,-0.796387,0.000488,0.061069,0.022901,-0.022901,8.632421,-0.91875,-2.915356,-0.742895,-0.086133,-0.187817,0.368457,-0.184229,-0.650781
1617445233.8624167,007,39.0,3.0,-32.0,-39.0,-27.0,0.600891,-0.069275,-0.796326,0.00116,0.061069,0.015267,-0.015267,8.552271,-0.860132,-2.928516,-0.824243,-0.025122,-0.204565,0.413916,-0.132788,-0.72854
1617445233.8724716,007,39.0,1.0,-31.0,-39.0,-29.0,0.600891,-0.068665,-0.796387,0.001709,0.045802,0.0,-0.015267,8.480494,-0.791943,-2.944067,-0.896021,0.043066,-0.220117,0.455786,-0.07417,-0.799121
