timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1617446236.7780948,007,53.0,49.0,46.0,48.0,27.0,0.823608,0.01178,-0.566833,-0.013306,-0.015267,0.022901,-0.015267,8.871679,0.299072,3.273047,-0.275146,-0.038281,-0.226099,0.112451,-0.027515,-0.33855
1617446236.7879734,007,52.0,47.0,45.0,51.0,26.0,0.823853,0.01178,-0.566528,-0.013611,-0.015267,0.015267,-0.022901,8.84895,0.288306,3.311328,-0.295483,-0.052637,-0.194995,0.075366,-0.040674,-0.346924
1617446236.7978702,007,52.0,45.0,46.0,53.0,26.0,0.824036,0.011841,-0.566284,-0.013916,-0.007634,0.015267,-0.022901,8.83938,0.267969,3.340039,-0.302661,-0.076563,-0.172266,0.05144,-0.0646,-0.345728
1617446236.8081048,007,53.0,47.0,44.0,50.0,25.0,0.824158,0.011963,-0.566101,-0.01416,-0.007634,0.007634,-0.022901,8.833399,0.25481,3.348413,-0.307446,-0.094507,-0.16748,0.044263,-0.081348,-0.349316
1617446236.8180478,007,52.0,48.0,46.0,45.0,26.0,0.824219,0.012207,-0.565918,-0.014404,0.0,0.007634,-0.030534,8.841772,0.256006,3.343628,-0.29668,-0.100488,-0.175854,0.056226,-0.088525,-0.343335
1617446236.8280172,007,54.0,49.0,46.0,52.0,26.0,0.824219,0.012512,-0.565918,-0.014648,0.0,0.0,-0.030534,8.870483,0.290698,3.341235,-0.267969,-0.072974,-0.178247,0.069385,-0.061011,-0.31582
1617446236.8379483,007,51.0,48.0,44.0,48.0,26.0,0.82428,0.012817,-0.565857,-0.014954,0.0,0.0,-0.030534,8.911158,0.344531,3.347217,-0.226099,-0.027515,-0.173462,0.080151,-0.016748,-0.27395
1617446236.8478904,007,52.0,45.0,45.0,49.0,27.0,0.82428,0.013123,-0.565796,-0.015198,0.0,0.0,-0.022901,8.95542,0.406738,3.350806,-0.18064,0.025122,-0.169873,0.093311,0.0323,-0.227295
1617446236.8581991,007,53.0,49.0,46.0,48.0,25.0,0.824341,0.013367,-0.565735,-0.015503,-0.007634,0.0,-0.022901,8.990112,0.466553,3.354394,-0.145947,0.077759,-0.168677,0.105273,0.08374,-0.192603
1617446236.8679228,007,52.0,47.0,46.0,51.0,26.0,0.824341,0.013489,-0.565735,-0.015747,-0.007634,0.0,-0.015267,9.021215,0.516797,3.357983,-0.114844,0.123218,-0.165088,0.113647,0.128003,-0.160303
1617446236.8777707,007,52.0,46.0,47.0,48.0,26.0,0.824341,0.01355,-0.565735,-0.01593,-0.007634,0.0,-0.007634,9.046338,0.549097,3.371143,-0.089722,0.153125,-0.151929,0.110059,0.156714,-0.131592
1617446236.887874,007,49.0,45.0,46.0,50.0,27.0,0.82428,0.01355,-0.565735,-0.015991,-0.007634,-0.007634,0.0,9.055908,0.553882,3.385498,-0.078955,0.156714,-0.136377,0.100488,0.160303,-0.11604
1617446236.8980896,007,50.0,47.0,46.0,34.0,86.0,0.82428,0.013489,-0.565796,-0.015991,-0.007634,-0.007634,0.0,9.064282,0.544312,3.387891,-0.071777,0.14834,-0.133984,0.100488,0.150732,-0.108862
1617446236.907917,007,52.0,48.0,47.0,48.0,26.0,0.824158,0.013489,-0.565979,-0.01593,0.0,-0.015267,0.007634,9.078638,0.526367,3.381909,-0.058618,0.131592,-0.135181,0.10647,0.133984,-0.096899
1617446236.9179018,007,52.0,48.0,46.0,50.0,26.0,0.824036,0.013428,-0.566162,-0.015747,0.0,-0.015267,0.007634,9.08462,0.504834,3.369946,-0.055029,0.112451,-0.143555,0.114844,0.114844,-0.098096
1617446236.9279299,007,53.0,47.0,46.0,48.0,27.0,0.823914,0.013367,-0.566345,-0.015625,-0.007634,-0.015267,0.007634,9.089404,0.488086,3.353198,-0.05144,0.098096,-0.155518,0.126807,0.100488,-0.099292
1617446236.9379327,007,52.0,48.0,47.0,52.0,26.0,0.823792,0.013245,-0.566528,-0.015503,-0.007634,-0.015267,0.007634,9.085815,0.465356,3.330469,-0.057422,0.078955,-0.174658,0.142358,0.081348,-0.112451
1617446236.9479442,007,53.0,49.0,46.0,47.0,27.0,0.823669,0.013062,-0.566711,-0.015442,-0.007634,-0.015267,0.007634,9.075048,0.447412,3.300561,-0.069385,0.0646,-0.200977,0.162695,0.066992,-0.133984
1617446236.9580703,007,52.0,47.0,44.0,44.0,26.0,0.823486,0.012878,-0.566956,-0.01532,-0.007634,-0.015267,0.007634,9.063086,0.42229,3.261084,-0.08374,0.043066,-0.234473,0.189014,0.046655,-0.159106
1617446236.967766,007,51.0,48.0,46.0,50.0,27.0,0.823364,0.012695,-0.567139,-0.015198,-0.007634,-0.007634,0.007634,9.049927,0.399561,3.241943,-0.098096,0.025122,-0.250024,0.198584,0.028711,-0.179443
1617446236.9779859,007,52.0,48.0,45.0,50.0,27.0,0.823303,0.012512,-0.567261,-0.015015,-0.007634,-0.007634,0.007634,9.028394,0.376831,3.225195,-0.120825,0.007178,-0.26438,0.203369,0.011963,-0.205762
1617446236.987904,007,52.0,48.0,45.0,48.0,26.0,0.823181,0.01239,-0.567383,-0.014771,0.0,-0.007634,0.007634,9.005664,0.361279,3.213233,-0.144751,-0.002393,-0.272754,0.203369,0.003589,-0.23208
1617446236.9978309,007,53.0,46.0,47.0,48.0,26.0,0.82312,0.012268,-0.567505,-0.014526,0.0,-0.007634,0.015267,8.972168,0.358887,3.203662,-0.179443,0.0,-0.279932,0.197388,0.007178,-0.266772
1617446237.0079257,007,53.0,49.0,47.0,48.0,26.0,0.823059,0.012146,-0.567627,-0.014282,0.0,-0.007634,0.015267,8.924316,0.358887,3.198877,-0.228491,0.003589,-0.282324,0.181836,0.013159,-0.313428
1617446237.01783,007,52.0,46.0,45.0,47.0,25.0,0.823059,0.012085,-0.567688,-0.013977,0.0,-0.007634,0.015267,8.892016,0.372046,3.207251,-0.261987,0.021533,-0.272754,0.161499,0.031104,-0.339746
1617446237.0278668,007,51.0,47.0,46.0,46.0,26.0,0.822998,0.011963,-0.567749,-0.013794,0.0,-0.007634,0.015267,8.869287,0.379224,3.206055,-0.284717,0.0323,-0.272754,0.153125,0.043066,-0.361279
1617446237.037699,007,54.0,47.0,45.0,48.0,26.0,0.822937,0.011841,-0.56781,-0.013611,-0.007634,-0.007634,0.015267,8.845362,0.364868,3.203662,-0.309839,0.021533,-0.27395,0.145947,0.033496,-0.385205
1617446237.0478973,007,52.0,46.0,46.0,48.0,26.0,0.822876,0.011719,-0.567932,-0.013367,0.0,-0.007634,0.007634,8.836987,0.334961,3.207251,-0.319409,-0.002393,-0.267969,0.136377,0.00957,-0.392383
1617446237.0579019,007,53.0,48.0,49.0,50.0,26.0,0.822815,0.011658,-0.567993,-0.013123,0.0,-0.007634,0.007634,8.851343,0.297876,3.207251,-0.305054,-0.035889,-0.265576,0.13877,-0.023926,-0.379224
1617446237.0680292,007,52.0,45.0,31.0,51.0,27.0,0.822815,0.011658,-0.568054,-0.012939,0.007634,0.0,0.0,8.868091,0.271558,3.212036,-0.289502,-0.059814,-0.260791,0.139966,-0.047852,-0.364868
1617446237.0778158,007,49.0,49.0,46.0,51.0,26.0,0.822815,0.01178,-0.568054,-0.012756,0.007634,0.0,0.0,8.876465,0.261987,3.22041,-0.281128,-0.069385,-0.251221,0.133984,-0.057422,-0.352905
1617446237.0878253,007,53.0,46.0,46.0,48.0,27.0,0.822876,0.011841,-0.567932,-0.012634,0.007634,0.007634,-0.007634,8.868091,0.257202,3.222803,-0.288306,-0.07417,-0.251221,0.131592,-0.062207,-0.360083
1617446237.0979316,007,53.0,49.0,45.0,47.0,26.0,0.822937,0.011902,-0.56781,-0.012634,0.0,0.007634,-0.007634,8.859716,0.267969,3.234766,-0.295483,-0.0646,-0.24165,0.119629,-0.052637,-0.363672
1617446237.1079092,007,52.0,47.0,46.0,47.0,26.0,0.822998,0.011963,-0.567749,-0.012695,-0.007634,0.007634,-0.015267,8.856128,0.266772,3.246728,-0.299072,-0.066992,-0.23208,0.110059,-0.055029,-0.363672
1617446237.1179574,007,51.0,47.0,47.0,46.0,43.0,0.823059,0.012024,-0.567627,-0.012878,-0.007634,0.007634,-0.015267,8.870483,0.270361,3.267066,-0.282324,-0.065796,-0.214136,0.099292,-0.053833,-0.340942
1617446237.1279578,007,54.0,47.0,46.0,47.0,26.0,0.82312,0.012085,-0.567566,-0.013,-0.007634,0.0,-0.015267,8.887232,0.284717,3.295776,-0.265576,-0.053833,-0.186621,0.078955,-0.043066,-0.31582
1617446237.1378314,007,52.0,49.0,46.0,47.0,26.0,0.823181,0.012146,-0.567505,-0.013184,-0.007634,0.0,-0.015267,8.902783,0.300269,3.316113,-0.250024,-0.04187,-0.168677,0.068188,-0.031104,-0.294287
1617446237.1477928,007,51.0,45.0,45.0,45.0,26.0,0.823181,0.012268,-0.567444,-0.013306,0.0,0.0,-0.015267,8.924316,0.325391,3.341235,-0.227295,-0.020337,-0.143555,0.052637,-0.010767,-0.263184
1617446237.1579719,007,51.0,47.0,45.0,47.0,26.0,0.823181,0.01239,-0.567444,-0.013367,0.0,-0.007634,-0.007634,8.942261,0.366064,3.361572,-0.209351,0.016748,-0.123218,0.040674,0.023926,-0.238062
1617446237.1679726,007,52.0,48.0,46.0,47.0,26.0,0.823181,0.012512,-0.567444,-0.013489,0.0,-0.007634,-0.007634,8.966187,0.410327,3.374732,-0.185425,0.057422,-0.110059,0.037085,0.0646,-0.209351
1617446237.1777432,007,53.0,45.0,44.0,47.0,29.0,0.823181,0.012573,-0.567505,-0.013611,-0.007634,-0.007634,-0.007634,9.006861,0.440234,3.371143,-0.145947,0.084937,-0.113647,0.053833,0.089722,-0.173462
1617446237.1869514,007,53.0,48.0,47.0,51.0,26.0,0.82312,0.012573,-0.567505,-0.013733,-0.007634,0.0,-0.007634,9.03916,0.449805,3.343628,-0.112451,0.093311,-0.139966,0.090918,0.098096,-0.150732
1617446237.1978667,007,52.0,48.0,46.0,46.0,26.0,0.82312,0.012512,-0.567505,-0.013794,-0.007634,0.0,0.0,9.053515,0.436646,3.319702,-0.098096,0.081348,-0.163892,0.118433,0.084937,-0.145947
1617446237.2073696,007,51.0,47.0,45.0,47.0,26.0,0.82312,0.012451,-0.567505,-0.013794,-0.007634,0.0,0.0,9.049927,0.411523,3.277832,-0.101685,0.056226,-0.205762,0.155518,0.059814,-0.165088
1617446237.2171419,007,52.0,48.0,45.0,47.0,26.0,0.82312,0.012329,-0.567566,-0.013733,-0.007634,0.0,0.0,9.024805,0.400757,3.26228,-0.128003,0.049048,-0.220117,0.160303,0.053833,-0.194995
1617446237.2269971,007,52.0,46.0,44.0,47.0,25.0,0.823059,0.012268,-0.567627,-0.013672,-0.007634,-0.007634,0.007634,8.998487,0.404346,3.27544,-0.154321,0.053833,-0.205762,0.137573,0.059814,-0.214136
1617446237.2371004,007,52.0,45.0,46.0,44.0,27.0,0.822998,0.012207,-0.567688,-0.01355,-0.007634,-0.007634,0.007634,8.974561,0.406738,3.302954,-0.178247,0.058618,-0.175854,0.100488,0.065796,-0.226099
1617446237.2471077,007,54.0,52.0,46.0,47.0,26.0,0.822937,0.012146,-0.56781,-0.013428,-0.007634,-0.007634,0.007634,8.962598,0.398364,3.314917,-0.192603,0.052637,-0.161499,0.082544,0.059814,-0.234473
1617446237.2570617,007,51.0,45.0,43.0,50.0,26.0,0.822876,0.012024,-0.567932,-0.013306,-0.007634,-0.015267,0.007634,8.964991,0.382812,3.330469,-0.191406,0.040674,-0.143555,0.065796,0.047852,-0.227295
1617446237.268108,007,52.0,49.0,45.0,48.0,27.0,0.822754,0.011902,-0.568054,-0.013184,-0.007634,-0.015267,0.007634,8.968579,0.358887,3.32688,-0.187817,0.019141,-0.144751,0.068188,0.026318,-0.226099
1617446237.2777762,007,53.0,45.0,46.0,45.0,26.0,0.822632,0.01178,-0.568237,-0.013062,-0.007634,-0.015267,0.007634,8.957812,0.327783,3.30415,-0.200977,-0.007178,-0.162695,0.080151,0.0,-0.245239
1617446237.2877972,007,53.0,49.0,46.0,51.0,26.0,0.82251,0.011658,-0.56842,-0.012939,0.0,-0.015267,0.007634,8.949438,0.291895,3.277832,-0.210547,-0.039478,-0.185425,0.098096,-0.031104,-0.263184
1617446237.2977912,007,51.0,47.0,48.0,48.0,26.0,0.822388,0.011536,-0.568665,-0.012756,0.0,-0.015267,0.007634,8.954224,0.26438,3.247925,-0.208154,-0.063403,-0.210547,0.122021,-0.055029,-0.270361
1617446237.307168,007,53.0,47.0,46.0,51.0,19.0,0.822266,0.011536,-0.568787,-0.012573,0.0,-0.007634,0.007634,8.956616,0.248828,3.215625,-0.206958,-0.076563,-0.239258,0.149536,-0.068188,-0.279932
1617446237.3169813,007,53.0,49.0,46.0,47.0,26.0,0.822205,0.011536,-0.568909,-0.01239,0.007634,0.0,0.0,8.954224,0.246436,3.200073,-0.210547,-0.076563,-0.252417,0.160303,-0.068188,-0.288306
1617446237.3271058,007,54.0,48.0,48.0,48.0,45.0,0.822205,0.011536,-0.568909,-0.012207,0.007634,0.0,0.0,8.939868,0.26438,3.182129,-0.224902,-0.057422,-0.270361,0.172266,-0.047852,-0.307446
1617446237.3371136,007,52.0,48.0,44.0,48.0,26.0,0.822205,0.011597,-0.568909,-0.012024,0.0,0.0,0.0,8.92312,0.289502,3.17854,-0.24165,-0.031104,-0.27395,0.169873,-0.021533,-0.322998
1617446237.346953,007,54.0,46.0,46.0,48.0,26.0,0.822266,0.011597,-0.568848,-0.011963,0.0,0.007634,0.0,8.897998,0.31582,3.177344,-0.266772,-0.003589,-0.277539,0.165088,0.005981,-0.346924
1617446237.3571305,007,53.0,49.0,47.0,47.0,26.0,0.822266,0.011658,-0.568848,-0.011902,0.0,0.0,0.0,8.864502,0.328979,3.174951,-0.300269,0.008374,-0.278735,0.154321,0.019141,-0.378027
