timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1620123563.706056,011,28.0,-13.0,62.0,52.0,43.0,0.764832,0.066162,-0.640442,-0.021423,-0.015267,-0.022901,-0.015267,9.401636,1.281226,1.54082,-0.171069,0.020337,-0.132788,0.098096,0.049048,-0.186621
1620123563.716207,011,27.0,-16.0,62.0,51.0,45.0,0.764648,0.066101,-0.640686,-0.021606,-0.015267,-0.015267,-0.007634,9.411206,1.264477,1.502539,-0.162695,0.002393,-0.166284,0.133984,0.033496,-0.186621
1620123563.7259297,011,27.0,-15.0,62.0,47.0,43.0,0.764465,0.065979,-0.640869,-0.021729,-0.015267,-0.015267,-0.007634,9.424365,1.252515,1.469043,-0.149536,-0.008374,-0.194995,0.165088,0.022729,-0.179443
1620123563.7359593,011,28.0,-10.0,54.0,46.0,58.0,0.764343,0.065857,-0.641052,-0.02179,-0.015267,-0.007634,-0.007634,9.442309,1.251318,1.435547,-0.132788,-0.008374,-0.223706,0.196191,0.022729,-0.168677
1620123563.745212,011,27.0,-12.0,61.0,48.0,43.0,0.764343,0.065674,-0.641113,-0.021973,-0.022901,0.0,-0.007634,9.442309,1.236963,1.414014,-0.133984,-0.022729,-0.245239,0.217725,0.010767,-0.174658
1620123563.75542,011,31.0,-17.0,61.0,47.0,44.0,0.764282,0.065491,-0.641113,-0.022156,-0.022901,0.0,0.0,9.418384,1.225,1.410425,-0.156714,-0.033496,-0.247632,0.216528,0.002393,-0.198584
1620123563.7651193,011,27.0,-15.0,60.0,47.0,44.0,0.764282,0.065186,-0.641174,-0.022339,-0.022901,-0.007634,0.0,9.404028,1.217822,1.419995,-0.171069,-0.038281,-0.238062,0.204565,0.0,-0.211743
1620123563.775226,011,29.0,-15.0,60.0,48.0,45.0,0.764221,0.065002,-0.641235,-0.022461,-0.022901,-0.007634,0.0,9.399243,1.217822,1.441528,-0.175854,-0.037085,-0.215332,0.181836,0.0,-0.212939
1620123563.785312,011,27.0,-15.0,63.0,54.0,45.0,0.76416,0.064819,-0.641357,-0.022583,-0.015267,-0.007634,0.0,9.402832,1.222607,1.47981,-0.173462,-0.031104,-0.174658,0.142358,0.001196,-0.202173
1620123563.7953823,011,28.0,-15.0,62.0,51.0,44.0,0.764099,0.064697,-0.641479,-0.022705,-0.015267,-0.015267,0.0,9.408813,1.245337,1.513306,-0.168677,-0.008374,-0.13877,0.10647,0.020337,-0.189014
1620123563.8051732,011,32.0,-15.0,63.0,51.0,43.0,0.763977,0.064514,-0.641602,-0.022827,-0.015267,-0.015267,0.0,9.398046,1.264477,1.526465,-0.179443,0.010767,-0.123218,0.088525,0.039478,-0.193799
1620123563.815488,011,29.0,-13.0,62.0,51.0,45.0,0.763794,0.064392,-0.641785,-0.022949,-0.015267,-0.022901,0.0,9.396851,1.280029,1.537231,-0.181836,0.026318,-0.107666,0.071777,0.053833,-0.191406
1620123563.825317,011,30.0,-12.0,62.0,48.0,43.0,0.763611,0.06427,-0.642029,-0.023071,-0.015267,-0.022901,0.0,9.421972,1.287207,1.538428,-0.15791,0.034692,-0.100488,0.069385,0.059814,-0.166284
1620123563.835321,011,29.0,-15.0,62.0,52.0,43.0,0.763489,0.064209,-0.642151,-0.023132,-0.015267,-0.015267,0.0,9.45188,1.297974,1.533643,-0.128003,0.045459,-0.101685,0.075366,0.066992,-0.135181
1620123563.845324,011,28.0,-16.0,60.0,50.0,44.0,0.763489,0.064026,-0.642212,-0.023254,-0.015267,0.0,0.0,9.463842,1.315918,1.516895,-0.117236,0.0646,-0.118433,0.092114,0.084937,-0.12561
1620123563.8554742,011,28.0,-12.0,63.0,47.0,44.0,0.763489,0.063782,-0.642273,-0.023438,-0.030534,-0.007634,0.0,9.418384,1.313525,1.486987,-0.162695,0.063403,-0.14834,0.113647,0.090918,-0.174658
1620123563.8651452,011,29.0,-15.0,63.0,51.0,45.0,0.763367,0.063354,-0.642395,-0.023621,-0.030534,-0.015267,0.007634,9.384888,1.256104,1.465454,-0.196191,0.010767,-0.166284,0.128003,0.044263,-0.217725
1620123563.875324,011,29.0,-15.0,63.0,52.0,45.0,0.763184,0.062988,-0.6427,-0.023743,-0.022901,-0.022901,0.0,9.396851,1.168774,1.44751,-0.186621,-0.071777,-0.178247,0.145947,-0.037085,-0.220117
1620123563.8851607,011,29.0,-15.0,61.0,47.0,45.0,0.762939,0.062744,-0.642944,-0.023682,-0.007634,-0.015267,0.0,9.41958,1.122119,1.430762,-0.165088,-0.113647,-0.189014,0.161499,-0.080151,-0.206958
1620123563.895361,011,29.0,-15.0,63.0,43.0,45.0,0.762756,0.062622,-0.643188,-0.023621,-0.007634,-0.015267,0.0,9.413599,1.130493,1.446314,-0.172266,-0.102881,-0.16748,0.13877,-0.070581,-0.208154
1620123563.9052536,011,27.0,-13.0,62.0,50.0,44.0,0.762634,0.0625,-0.643372,-0.023621,-0.015267,-0.015267,0.0,9.432739,1.18313,1.477417,-0.154321,-0.047852,-0.132788,0.105273,-0.020337,-0.178247
1620123563.9154096,011,29.0,-15.0,63.0,48.0,45.0,0.762512,0.062317,-0.643555,-0.023743,-0.022901,-0.015267,0.007634,9.449488,1.23457,1.509717,-0.13877,0.003589,-0.096899,0.070581,0.025122,-0.150732
