timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1620123227.8977,011,-9.0,-21.0,-44.0,-45.0,-28.0,0.7276,0.061646,-0.683044,0.015564,0.0,0.0,-0.007634,9.520068,0.642407,0.368457,-0.239258,-0.027515,-0.211743,0.196191,0.010767,-0.252417
1620123227.9074495,011,-10.0,-21.0,-44.0,-46.0,-28.0,0.727478,0.061768,-0.683167,0.015442,-0.007634,-0.015267,-0.007634,9.444702,0.640015,0.345728,-0.314624,-0.033496,-0.230884,0.211743,0.010767,-0.328979
1620123227.917456,011,-8.0,-19.0,-44.0,-42.0,-33.0,0.727173,0.061707,-0.683533,0.01532,-0.007634,-0.030534,-0.007634,9.425562,0.628052,0.346924,-0.334961,-0.045459,-0.221313,0.202173,0.0,-0.349316
1620123227.927341,011,-8.0,-22.0,-46.0,-42.0,-31.0,0.726746,0.061646,-0.68396,0.015259,-0.007634,-0.038168,0.0,9.399243,0.552686,0.330176,-0.361279,-0.120825,-0.226099,0.212939,-0.071777,-0.38042
1620123227.937613,011,-9.0,-22.0,-46.0,-43.0,-31.0,0.726379,0.061523,-0.684326,0.015442,0.0,-0.030534,0.007634,9.449488,0.582593,0.360083,-0.311035,-0.086133,-0.185425,0.173462,-0.045459,-0.325391
1620123227.9474845,011,-9.0,-22.0,-46.0,-42.0,-28.0,0.726196,0.061462,-0.68457,0.015442,-0.015267,-0.015267,0.007634,9.524854,0.695044,0.418701,-0.236865,0.026318,-0.122021,0.102881,0.053833,-0.240454
1620123227.9573271,011,-7.0,-24.0,-44.0,-40.0,-27.0,0.726196,0.061279,-0.68457,0.015137,-0.022901,-0.007634,0.0,9.522461,0.697437,0.400757,-0.239258,0.027515,-0.139966,0.120825,0.057422,-0.244043
1620123227.967397,011,-10.0,-21.0,-43.0,-44.0,-32.0,0.726135,0.061035,-0.684692,0.014954,-0.022901,-0.007634,-0.007634,9.499731,0.660352,0.362476,-0.261987,-0.007178,-0.175854,0.15791,0.027515,-0.270361
1620123227.9773283,011,-10.0,-25.0,-45.0,-44.0,-31.0,0.726074,0.060974,-0.684753,0.014771,-0.015267,0.0,-0.007634,9.478198,0.642407,0.352905,-0.283521,-0.026318,-0.183032,0.166284,0.010767,-0.293091
1620123227.987595,011,-10.0,-21.0,-43.0,-43.0,-26.0,0.725952,0.060974,-0.684875,0.014648,0.0,-0.015267,-0.015267,9.407618,0.568237,0.297876,-0.354102,-0.101685,-0.235669,0.22251,-0.052637,-0.372046
1620123227.9975476,011,-9.0,-21.0,-43.0,-39.0,-28.0,0.725647,0.061096,-0.685181,0.014709,0.007634,-0.030534,-0.015267,9.346606,0.5802,0.293091,-0.415112,-0.090918,-0.230884,0.212939,-0.038281,-0.43186
1620123228.0074577,011,-9.0,-19.0,-44.0,-41.0,-28.0,0.72522,0.06134,-0.685608,0.014526,0.0,-0.045802,-0.015267,9.33584,0.582593,0.309839,-0.425879,-0.093311,-0.202173,0.184229,-0.043066,-0.440234
1620123228.0173993,011,-10.0,-23.0,-44.0,-45.0,-29.0,0.72467,0.061401,-0.686157,0.014465,0.0,-0.045802,-0.015267,9.406421,0.517993,0.330176,-0.356494,-0.159106,-0.166284,0.160303,-0.11604,-0.374438
1620123228.0275755,011,-8.0,-22.0,-44.0,-42.0,-33.0,0.724304,0.061462,-0.686584,0.014526,0.0,-0.038168,0.0,9.575098,0.583789,0.403149,-0.189014,-0.092114,-0.082544,0.080151,-0.069385,-0.198584
1620123228.0373948,011,-9.0,-21.0,-42.0,-41.0,-29.0,0.724182,0.06134,-0.686707,0.014404,-0.022901,-0.007634,0.007634,9.685156,0.708203,0.448608,-0.078955,0.031104,-0.034692,0.026318,0.039478,-0.077759
1620123228.047405,011,-9.0,-21.0,-43.0,-41.0,-31.0,0.724304,0.060913,-0.686646,0.014099,-0.038168,0.007634,0.007634,9.715063,0.739307,0.421094,-0.049048,0.063403,-0.0646,0.053833,0.071777,-0.046655
1620123228.0572524,011,-10.0,-21.0,-34.0,-44.0,-25.0,0.724426,0.060486,-0.686523,0.013733,-0.038168,0.015267,0.0,9.679174,0.712988,0.369653,-0.08374,0.038281,-0.119629,0.110059,0.055029,-0.086133
1620123228.0674524,011,-9.0,-20.0,-43.0,-44.0,-31.0,0.724548,0.060181,-0.686462,0.013489,-0.015267,0.007634,-0.007634,9.515284,0.565845,0.261987,-0.248828,-0.10647,-0.230884,0.224902,-0.0646,-0.266772
1620123228.077467,011,-10.0,-19.0,-43.0,-40.0,-29.0,0.724365,0.060303,-0.686646,0.013672,0.015267,-0.015267,-0.015267,9.417188,0.52876,0.215332,-0.346924,-0.142358,-0.271558,0.26438,-0.089722,-0.368457
1620123228.0872664,011,-10.0,-19.0,-44.0,-46.0,-27.0,0.72406,0.060791,-0.68689,0.013733,0.022901,-0.022901,-0.015267,9.418384,0.596948,0.248828,-0.345728,-0.080151,-0.229687,0.216528,-0.0323,-0.360083
1620123228.097338,011,-7.0,-22.0,-46.0,-45.0,-31.0,0.723755,0.061096,-0.687195,0.013733,0.007634,-0.038168,-0.007634,9.411206,0.638818,0.282324,-0.352905,-0.04187,-0.187817,0.171069,0.001196,-0.362476
1620123228.1072447,011,-10.0,-21.0,-43.0,-42.0,-29.0,0.723328,0.061157,-0.687683,0.013733,0.0,-0.038168,0.0,9.457861,0.648389,0.321802,-0.307446,-0.033496,-0.135181,0.120825,0.0,-0.314624
1620123228.117314,011,-9.0,-22.0,-44.0,-44.0,-29.0,0.722961,0.061157,-0.688049,0.013794,0.0,-0.030534,0.0,9.563135,0.665137,0.374438,-0.202173,-0.014355,-0.072974,0.062207,0.005981,-0.205762
1620123228.127289,011,-9.0,-20.0,-43.0,-40.0,-28.0,0.722778,0.061157,-0.688171,0.013794,-0.007634,-0.015267,0.0,9.638501,0.722559,0.399561,-0.126807,0.04187,-0.043066,0.031104,0.053833,-0.124414
1620123228.1374838,011,-9.0,-21.0,-43.0,-41.0,-27.0,0.722778,0.061096,-0.688232,0.013611,-0.015267,0.0,-0.007634,9.646875,0.722559,0.391187,-0.118433,0.039478,-0.05144,0.040674,0.05144,-0.117236
1620123228.1473413,011,-7.0,-21.0,-40.0,-40.0,-27.0,0.722778,0.061035,-0.688232,0.013428,-0.007634,0.0,-0.015267,9.587061,0.640015,0.334961,-0.178247,-0.043066,-0.107666,0.101685,-0.019141,-0.185425
1620123228.1573408,011,-10.0,-23.0,-44.0,-44.0,-29.0,0.722656,0.061218,-0.688354,0.013489,0.007634,-0.015267,-0.015267,9.480591,0.559863,0.253613,-0.284717,-0.124414,-0.185425,0.181836,-0.084937,-0.300269
1620123228.1673086,011,-10.0,-19.0,-42.0,-41.0,-29.0,0.72229,0.061584,-0.68866,0.01355,0.015267,-0.030534,-0.022901,9.421972,0.616089,0.246436,-0.343335,-0.071777,-0.183032,0.171069,-0.028711,-0.354102
1620123228.1774735,011,-10.0,-19.0,-42.0,-52.0,-57.0,0.721863,0.061951,-0.689148,0.013367,0.0,-0.045802,-0.015267,9.413599,0.675903,0.261987,-0.352905,-0.019141,-0.154321,0.137573,0.020337,-0.358887
1620123228.1871698,011,-9.0,-20.0,-39.0,-40.0,-27.0,0.721252,0.062012,-0.689758,0.013123,-0.015267,-0.061069,-0.015267,9.388476,0.673511,0.257202,-0.378027,-0.025122,-0.141162,0.124414,0.014355,-0.384009
1620123228.1973372,011,-10.0,-21.0,-40.0,-39.0,-24.0,0.72052,0.061951,-0.690552,0.012756,-0.022901,-0.068702,-0.015267,9.455469,0.692651,0.302661,-0.311035,-0.00957,-0.075366,0.061011,0.019141,-0.313428
1620123228.20728,011,-9.0,-22.0,-43.0,-41.0,-24.0,0.71991,0.061646,-0.691223,0.012207,-0.045802,-0.061069,-0.015267,9.582275,0.729736,0.352905,-0.185425,0.025122,-0.007178,-0.003589,0.037085,-0.183032
1620123228.2172682,011,-9.0,-20.0,-43.0,-40.0,-28.0,0.719482,0.061157,-0.691711,0.011475,-0.061069,-0.045802,-0.007634,9.66123,0.722559,0.354102,-0.10647,0.015552,0.004785,-0.010767,0.021533,-0.104077
1620123228.2274084,011,-10.0,-23.0,-43.0,-39.0,-28.0,0.719177,0.060547,-0.692139,0.010803,-0.053435,-0.030534,-0.007634,9.673193,0.625659,0.287109,-0.095703,-0.080151,-0.05144,0.055029,-0.066992,-0.102881
1620123228.2373867,011,-9.0,-21.0,-41.0,-41.0,-27.0,0.718872,0.060181,-0.692505,0.010437,-0.030534,-0.022901,-0.015267,9.633716,0.558667,0.206958,-0.135181,-0.147144,-0.123218,0.130396,-0.123218,-0.14834
1620123228.2472072,011,-9.0,-19.0,-42.0,-39.0,-27.0,0.718445,0.060181,-0.692871,0.010254,-0.007634,-0.030534,-0.022901,9.546387,0.540723,0.123218,-0.221313,-0.166284,-0.194995,0.200977,-0.129199,-0.238062
