timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1620726173.2690601,014,-122.0,-25.0,-44.0,70.0,43.0,0.865356,0.075378,-0.495422,0.006409,0.007634,0.022901,-0.007634,8.412305,1.041968,4.65835,0.0,-0.173462,-0.218921,0.202173,-0.141162,-0.130396
1620726173.2791007,014,-124.0,-24.0,-44.0,66.0,39.0,0.865479,0.075623,-0.495178,0.00647,0.007634,0.015267,-0.007634,8.273535,1.113745,4.627246,-0.135181,-0.105273,-0.25481,0.15791,-0.059814,-0.256006
1620726173.2888217,014,-123.0,-28.0,-46.0,69.0,43.0,0.865479,0.075867,-0.495117,0.006409,0.0,0.0,-0.015267,8.207739,1.191504,4.636817,-0.19978,-0.0323,-0.245239,0.110059,0.014355,-0.29668
1620726173.298937,014,-123.0,-25.0,-46.0,72.0,43.0,0.865417,0.075989,-0.495178,0.006104,-0.007634,-0.007634,-0.015267,8.198169,1.232178,4.647583,-0.209351,0.002393,-0.23208,0.090918,0.046655,-0.294287
1620726173.308945,014,-122.0,-25.0,-43.0,71.0,42.0,0.865356,0.075989,-0.4953,0.005859,-0.015267,-0.015267,-0.015267,8.195776,1.230981,4.648779,-0.212939,0.0,-0.228491,0.086133,0.044263,-0.295483
1620726173.318858,014,-121.0,-26.0,-45.0,71.0,42.0,0.865234,0.075989,-0.495483,0.005676,-0.007634,-0.015267,-0.015267,8.22688,1.233374,4.660742,-0.184229,0.0,-0.212939,0.088525,0.040674,-0.263184
1620726173.3288903,014,-123.0,-25.0,-44.0,72.0,43.0,0.865173,0.07605,-0.495605,0.005493,-0.007634,-0.007634,-0.015267,8.267553,1.246533,4.669116,-0.144751,0.00957,-0.202173,0.098096,0.046655,-0.22251
1620726173.3390071,014,-123.0,-25.0,-40.0,71.0,42.0,0.865112,0.076233,-0.495667,0.005249,0.0,-0.007634,-0.015267,8.307032,1.2573,4.675097,-0.105273,0.015552,-0.194995,0.111255,0.049048,-0.184229
1620726173.3488433,014,-124.0,-27.0,-43.0,71.0,42.0,0.865112,0.076355,-0.495605,0.005066,0.0,0.007634,-0.022901,8.344116,1.251318,4.675097,-0.066992,0.004785,-0.194995,0.131592,0.035889,-0.153125
1620726173.3590415,014,-121.0,-27.0,-43.0,70.0,41.0,0.865234,0.076477,-0.495483,0.005005,0.007634,0.015267,-0.007634,8.362061,1.162793,4.655957,-0.047852,-0.084937,-0.216528,0.16748,-0.050244,-0.159106
1620726173.3689399,014,-122.0,-25.0,-44.0,70.0,41.0,0.865295,0.076721,-0.495239,0.005432,0.030534,0.022901,0.007634,8.371631,1.144849,4.648779,-0.034692,-0.102881,-0.227295,0.185425,-0.066992,-0.155518
1620726173.3788958,014,-121.0,-27.0,-43.0,72.0,42.0,0.865479,0.077087,-0.494934,0.006042,0.030534,0.022901,0.015267,8.333349,1.271655,4.666724,-0.070581,0.021533,-0.215332,0.145947,0.055029,-0.163892
1620726173.3887463,014,-124.0,-27.0,-44.0,71.0,42.0,0.865601,0.077515,-0.494568,0.006287,0.007634,0.015267,0.007634,8.235254,1.433154,4.68706,-0.163892,0.178247,-0.19978,0.070581,0.214136,-0.216528
1620726173.3987577,014,-123.0,-25.0,-44.0,72.0,43.0,0.865723,0.077576,-0.494385,0.006226,-0.015267,0.0,0.0,8.156299,1.491772,4.703809,-0.24165,0.235669,-0.186621,0.014355,0.27395,-0.269165
1620726173.4089322,014,-120.0,-25.0,-45.0,72.0,39.0,0.865723,0.077393,-0.494446,0.00592,-0.030534,-0.015267,-0.007634,8.180224,1.419995,4.710986,-0.217725,0.163892,-0.179443,0.027515,0.200977,-0.25481
1620726173.4187467,014,-121.0,-27.0,-46.0,73.0,42.0,0.865662,0.077148,-0.494629,0.005615,-0.022901,-0.007634,-0.015267,8.262769,1.33147,4.721753,-0.137573,0.076563,-0.166284,0.0646,0.107666,-0.19021
1620726173.4288764,014,-123.0,-24.0,-42.0,72.0,42.0,0.865601,0.077026,-0.49469,0.005371,-0.015267,0.0,-0.022901,8.333349,1.26687,4.713379,-0.066992,0.011963,-0.172266,0.111255,0.039478,-0.141162
1620726173.4389977,014,-124.0,-27.0,-45.0,67.0,60.0,0.865662,0.077026,-0.494629,0.005127,-0.015267,0.007634,-0.022901,8.350098,1.219019,4.705005,-0.049048,-0.037085,-0.183032,0.133984,-0.007178,-0.137573
1620726173.4488978,014,-120.0,-25.0,-44.0,73.0,44.0,0.865723,0.076965,-0.494507,0.004944,-0.007634,0.007634,-0.015267,8.344116,1.175952,4.70979,-0.053833,-0.081348,-0.18064,0.132788,-0.05144,-0.145947
1620726173.4589796,014,-124.0,-25.0,-42.0,70.0,41.0,0.865845,0.076965,-0.494324,0.004761,-0.007634,0.007634,-0.015267,8.350098,1.171167,4.737305,-0.045459,-0.088525,-0.156714,0.117236,-0.062207,-0.128003
