timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1620724774.7993739,014,-36.0,-6.0,63.0,68.0,63.0,0.947571,-0.08136,0.308411,-0.017517,-0.007634,-0.007634,-0.007634,-5.757739,-1.640112,7.778272,-0.057422,-0.022729,-0.026318,-0.061011,-0.020337,0.015552
1620724774.809355,014,-35.0,-6.0,63.0,68.0,26.0,0.947571,-0.081421,0.30835,-0.017578,-0.007634,-0.007634,-0.007634,-5.74458,-1.638916,7.763916,-0.045459,-0.020337,-0.040674,-0.059814,-0.021533,-0.002393
1620724774.819082,014,-36.0,-6.0,61.0,68.0,58.0,0.947571,-0.081482,0.30835,-0.017639,-0.007634,-0.007634,-0.007634,-5.760132,-1.643701,7.748364,-0.061011,-0.022729,-0.056226,-0.081348,-0.025122,-0.004785
1620724774.829182,014,-36.0,-7.0,63.0,67.0,58.0,0.947571,-0.081482,0.308289,-0.0177,0.0,-0.015267,-0.007634,-5.770898,-1.640112,7.754346,-0.072974,-0.019141,-0.05144,-0.088525,-0.019141,0.003589
1620724774.8391125,014,-35.0,-6.0,63.0,66.0,60.0,0.947693,-0.081482,0.308044,-0.0177,0.0,-0.022901,-0.007634,-5.780469,-1.631738,7.765112,-0.086133,-0.010767,-0.044263,-0.094507,-0.00957,0.015552
1620724774.8492997,014,-33.0,-6.0,63.0,69.0,59.0,0.947754,-0.081482,0.307739,-0.017761,0.0,-0.030534,-0.007634,-5.780469,-1.643701,7.775879,-0.092114,-0.022729,-0.035889,-0.094507,-0.019141,0.027515
1620724774.8591716,014,-37.0,-7.0,63.0,64.0,58.0,0.947937,-0.081482,0.307251,-0.017883,0.0,-0.038168,-0.015267,-5.764917,-1.64729,7.77229,-0.08374,-0.025122,-0.046655,-0.094507,-0.023926,0.014355
1620724774.8692777,014,-34.0,-6.0,63.0,62.0,58.0,0.948059,-0.081543,0.306763,-0.018066,0.0,-0.038168,-0.022901,-5.719458,-1.64729,7.768701,-0.047852,-0.022729,-0.055029,-0.070581,-0.025122,-0.011963
1620724774.8792076,014,-37.0,-7.0,62.0,66.0,58.0,0.948242,-0.081604,0.306274,-0.018311,0.0,-0.030534,-0.022901,-5.659644,-1.635327,7.754346,0.002393,-0.008374,-0.075366,-0.04187,-0.019141,-0.059814
1620724774.889264,014,-36.0,-6.0,63.0,71.0,59.0,0.948303,-0.081726,0.305969,-0.018555,-0.007634,-0.022901,-0.022901,-5.603418,-1.620972,7.72085,0.052637,0.008374,-0.112451,-0.022729,-0.011963,-0.120825
1620724774.8991046,014,-36.0,-7.0,63.0,68.0,60.0,0.948364,-0.081909,0.305786,-0.018799,-0.007634,-0.007634,-0.022901,-5.578296,-1.598242,7.687354,0.075366,0.035889,-0.147144,-0.023926,0.007178,-0.166284
1620724774.9091175,014,-35.0,-6.0,62.0,68.0,60.0,0.948303,-0.082031,0.305786,-0.018921,-0.015267,-0.007634,-0.015267,-5.616577,-1.559961,7.674194,0.035889,0.077759,-0.159106,-0.0646,0.050244,-0.160303
1620724774.9191034,014,-35.0,-6.0,62.0,68.0,58.0,0.948364,-0.082153,0.305664,-0.019043,-0.015267,-0.022901,-0.015267,-5.676392,-1.561157,7.681372,-0.025122,0.078955,-0.154321,-0.111255,0.057422,-0.122021
1620724774.929422,014,-32.0,-6.0,63.0,69.0,60.0,0.948486,-0.082214,0.305359,-0.019043,-0.007634,-0.038168,-0.015267,-5.724243,-1.562353,7.696924,-0.077759,0.078955,-0.142358,-0.147144,0.063403,-0.081348
1620724774.9390767,014,-37.0,-6.0,63.0,68.0,59.0,0.948669,-0.082214,0.304749,-0.019104,0.0,-0.045802,-0.007634,-5.720654,-1.564746,7.706494,-0.084937,0.077759,-0.139966,-0.150732,0.063403,-0.075366
1620724774.949146,014,-32.0,-6.0,63.0,68.0,59.0,0.948853,-0.082153,0.304077,-0.019165,0.0,-0.045802,-0.015267,-5.677588,-1.559961,7.705298,-0.052637,0.081348,-0.14834,-0.129199,0.062207,-0.101685
1620724774.9592922,014,-36.0,-6.0,62.0,68.0,59.0,0.949036,-0.082031,0.303528,-0.019287,0.007634,-0.038168,-0.015267,-5.614184,-1.536035,7.683764,0.0,0.104077,-0.177051,-0.102881,0.076563,-0.159106
1620724774.969156,014,-32.0,-7.0,63.0,68.0,59.0,0.949158,-0.08197,0.303101,-0.019348,0.0,-0.022901,-0.007634,-5.556763,-1.50852,7.662231,0.050244,0.130396,-0.203369,-0.077759,0.094507,-0.212939
1620724774.9792461,014,-37.0,-6.0,63.0,102.0,59.0,0.949219,-0.08197,0.302917,-0.019409,-0.007634,-0.015267,-0.007634,-5.545996,-1.49895,7.637109,0.057422,0.141162,-0.230884,-0.087329,0.100488,-0.24165
1620724774.9891167,014,-35.0,-6.0,62.0,65.0,59.0,0.94928,-0.08197,0.302856,-0.019409,-0.007634,-0.015267,-0.007634,-5.565137,-1.497754,7.635913,0.038281,0.142358,-0.233276,-0.105273,0.102881,-0.23208
1620724774.9992194,014,-35.0,-6.0,62.0,68.0,59.0,0.94928,-0.081848,0.302795,-0.019409,0.0,-0.015267,-0.007634,-5.584277,-1.507324,7.64668,0.017944,0.130396,-0.223706,-0.11604,0.094507,-0.210547
1620724775.0090885,014,-33.0,-6.0,63.0,68.0,61.0,0.949341,-0.081787,0.302612,-0.01947,0.0,-0.015267,-0.007634,-5.59624,-1.520483,7.659839,0.002393,0.11604,-0.212939,-0.122021,0.082544,-0.191406
1620724775.0190234,014,-33.0,-6.0,63.0,70.0,59.0,0.949402,-0.081665,0.30249,-0.01947,0.0,-0.015267,-0.007634,-5.601026,-1.53125,7.680176,-0.002393,0.102881,-0.193799,-0.114844,0.072974,-0.171069
1620724775.029072,014,-36.0,-6.0,61.0,68.0,58.0,0.949463,-0.081604,0.302246,-0.01947,0.0,-0.015267,-0.007634,-5.583081,-1.550391,7.678979,0.00957,0.082544,-0.198584,-0.107666,0.05144,-0.178247
1620724775.0391796,014,-36.0,-8.0,62.0,70.0,59.0,0.949585,-0.081482,0.302063,-0.019531,0.007634,-0.022901,-0.007634,-5.571118,-1.55398,7.671802,0.019141,0.077759,-0.209351,-0.105273,0.044263,-0.191406
1620724775.0490856,014,-35.0,-6.0,61.0,66.0,58.0,0.949646,-0.081299,0.301819,-0.019531,0.007634,-0.022901,0.0,-5.557959,-1.557568,7.667017,0.027515,0.070581,-0.216528,-0.102881,0.035889,-0.200977
1620724775.0591486,014,-35.0,-7.0,63.0,68.0,58.0,0.949768,-0.081116,0.301514,-0.019531,0.007634,-0.030534,0.0,-5.55437,-1.555176,7.662231,0.026318,0.069385,-0.226099,-0.108862,0.033496,-0.208154
1620724775.0690877,014,-33.0,-6.0,62.0,68.0,59.0,0.94989,-0.080811,0.301147,-0.019531,0.015267,-0.030534,0.0,-5.543603,-1.555176,7.670606,0.031104,0.0646,-0.22251,-0.102881,0.028711,-0.206958
