timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1620725530.9026308,014,-132.0,44.0,62.0,64.0,-57.0,0.789612,0.214355,-0.57489,0.004883,-0.015267,-0.007634,0.007634,8.846558,3.256299,2.336353,-0.070581,-0.005981,-0.08374,0.052637,0.039478,-0.086133
1620725530.9125545,014,-133.0,44.0,62.0,66.0,-56.0,0.789551,0.214172,-0.575012,0.004883,-0.007634,-0.015267,0.007634,8.858521,3.24314,2.33396,-0.059814,-0.015552,-0.084937,0.059814,0.028711,-0.080151
1620725530.9224951,014,-134.0,43.0,60.0,63.0,-59.0,0.78949,0.21405,-0.575195,0.004944,-0.007634,-0.015267,0.0,8.890821,3.231177,2.318408,-0.029907,-0.025122,-0.098096,0.084937,0.017944,-0.058618
1620725530.932572,014,-135.0,46.0,62.0,66.0,-57.0,0.789429,0.213989,-0.575317,0.004944,-0.007634,-0.007634,0.0,8.908765,3.222803,2.305249,-0.013159,-0.0323,-0.108862,0.101685,0.010767,-0.049048
1620725530.9425423,014,-135.0,43.0,62.0,68.0,-56.0,0.789368,0.213989,-0.575378,0.004883,-0.007634,-0.007634,-0.007634,8.926709,3.204858,2.289697,0.003589,-0.050244,-0.123218,0.12561,-0.003589,-0.043066
1620725530.9524527,014,-135.0,44.0,63.0,67.0,-55.0,0.789307,0.21405,-0.575439,0.004883,0.0,-0.007634,-0.007634,8.907568,3.214429,2.29209,-0.014355,-0.04187,-0.118433,0.112451,0.005981,-0.055029
1620725530.9624207,014,-133.0,45.0,63.0,64.0,-59.0,0.789246,0.214111,-0.5755,0.004822,0.0,-0.007634,-0.007634,8.887232,3.244336,2.300464,-0.034692,-0.013159,-0.108862,0.089722,0.033496,-0.062207
1620725530.9724665,014,-134.0,44.0,63.0,64.0,-56.0,0.789185,0.214172,-0.575623,0.004761,-0.007634,-0.007634,-0.007634,8.896802,3.253906,2.30166,-0.026318,-0.004785,-0.105273,0.087329,0.037085,-0.050244
1620725530.982604,014,-136.0,41.0,61.0,60.0,-57.0,0.789062,0.214233,-0.575684,0.0047,0.0,-0.007634,-0.007634,8.913549,3.261084,2.276538,-0.008374,0.0,-0.126807,0.111255,0.045459,-0.038281
1620725530.9923935,014,-135.0,40.0,63.0,63.0,-56.0,0.789001,0.214233,-0.575745,0.0047,0.0,0.0,-0.007634,8.929102,3.273047,2.257397,0.004785,0.011963,-0.144751,0.129199,0.058618,-0.026318
1620725531.0023367,014,-134.0,42.0,62.0,64.0,-56.0,0.789001,0.214294,-0.575806,0.0047,-0.007634,0.0,0.0,8.937475,3.271851,2.239453,0.013159,0.010767,-0.161499,0.147144,0.061011,-0.023926
1620725531.012492,014,-135.0,43.0,62.0,66.0,-59.0,0.789001,0.214294,-0.575745,0.004761,-0.007634,0.007634,0.0,8.921924,3.270654,2.228687,-0.001196,0.00957,-0.173462,0.154321,0.068188,-0.039478
1620725531.021748,014,-134.0,42.0,63.0,67.0,-57.0,0.789062,0.214294,-0.575684,0.004822,0.0,0.007634,0.0,8.892016,3.253906,2.234668,-0.031104,-0.004785,-0.168677,0.143555,0.061011,-0.070581
1620725531.0318265,014,-136.0,45.0,63.0,68.0,-54.0,0.789124,0.214294,-0.575562,0.004883,0.0,0.007634,0.0,8.862109,3.253906,2.251416,-0.059814,-0.004785,-0.154321,0.120825,0.062207,-0.093311
1620725531.0425212,014,-133.0,43.0,62.0,64.0,-55.0,0.789185,0.214294,-0.575562,0.004883,-0.007634,0.0,0.0,8.84895,3.269458,2.274146,-0.07417,0.00957,-0.132788,0.092114,0.071777,-0.096899
1620725531.051685,014,-135.0,42.0,63.0,64.0,-59.0,0.789185,0.214233,-0.575562,0.004944,-0.007634,0.0,0.0,8.840576,3.279028,2.300464,-0.082544,0.020337,-0.10647,0.063403,0.07417,-0.094507
1620725531.0616078,014,-136.0,44.0,62.0,63.0,-57.0,0.789185,0.214172,-0.575623,0.004883,-0.007634,-0.007634,0.0,8.841772,3.269458,2.318408,-0.081348,0.010767,-0.088525,0.049048,0.058618,-0.092114
1620725531.0718317,014,-134.0,43.0,62.0,62.0,-56.0,0.789124,0.21405,-0.575745,0.004883,-0.007634,-0.007634,0.0,8.877661,3.219214,2.321997,-0.046655,-0.035889,-0.082544,0.068188,0.005981,-0.07417
1620725531.0818222,014,-135.0,43.0,62.0,64.0,-58.0,0.789001,0.213989,-0.575806,0.005005,0.0,-0.007634,0.0,8.924316,3.203662,2.318408,0.0,-0.049048,-0.08374,0.087329,-0.015552,-0.035889
1620725531.0915678,014,-134.0,42.0,62.0,64.0,-57.0,0.789001,0.21405,-0.575867,0.005005,0.0,0.0,-0.007634,8.941065,3.22998,2.314819,0.014355,-0.022729,-0.086133,0.088525,0.004785,-0.015552
1620725531.1017365,014,-135.0,43.0,63.0,62.0,-56.0,0.789001,0.21405,-0.575867,0.004883,-0.015267,0.0,-0.007634,8.947046,3.241943,2.320801,0.020337,-0.011963,-0.080151,0.082544,0.010767,-0.004785
1620725531.1118183,014,-135.0,44.0,61.0,67.0,-55.0,0.789001,0.213928,-0.575867,0.0047,-0.015267,0.0,-0.007634,8.954224,3.198877,2.319604,0.028711,-0.056226,-0.082544,0.098096,-0.028711,-0.011963
1620725531.1215777,014,-135.0,44.0,63.0,63.0,-56.0,0.789062,0.213867,-0.575867,0.004639,-0.007634,0.0,-0.007634,8.966187,3.149829,2.310034,0.039478,-0.105273,-0.093311,0.124414,-0.072974,-0.021533
1620725531.1324046,014,-135.0,43.0,63.0,63.0,-56.0,0.789124,0.213806,-0.575806,0.004639,-0.007634,0.007634,-0.007634,8.967382,3.145044,2.302856,0.04187,-0.108862,-0.101685,0.132788,-0.072974,-0.022729
1620725531.1418035,014,-135.0,45.0,63.0,58.0,-59.0,0.789185,0.213806,-0.575684,0.0047,0.0,0.007634,-0.007634,8.926709,3.137866,2.30166,0.001196,-0.11604,-0.105273,0.124414,-0.069385,-0.062207
1620725531.1518245,014,-133.0,42.0,60.0,62.0,-83.0,0.789185,0.213806,-0.575684,0.004761,0.0,0.0,0.0,8.901587,3.145044,2.310034,-0.022729,-0.107666,-0.096899,0.10647,-0.058618,-0.080151
1620725531.1615741,014,-137.0,42.0,62.0,62.0,-57.0,0.789185,0.213806,-0.575684,0.004883,0.0,0.0,0.0,8.907568,3.200073,2.323193,-0.016748,-0.05144,-0.08374,0.082544,-0.013159,-0.052637
1620725531.17174,014,-133.0,43.0,62.0,62.0,-57.0,0.789246,0.213806,-0.575623,0.004883,-0.007634,0.0,0.0,8.863306,3.247925,2.341138,-0.061011,-0.003589,-0.068188,0.04187,0.033496,-0.072974
1620725531.1816015,014,-135.0,44.0,63.0,63.0,-56.0,0.789246,0.213684,-0.575684,0.0047,-0.022901,-0.015267,-0.007634,8.817846,3.261084,2.367456,-0.10647,0.008374,-0.04187,0.0,0.046655,-0.104077
1620725531.191703,014,-135.0,46.0,61.0,64.0,-58.0,0.789185,0.213501,-0.575806,0.004333,-0.022901,-0.022901,-0.015267,8.811865,3.251514,2.391382,-0.112451,-0.001196,-0.015552,-0.022729,0.031104,-0.10647
1620725531.2017343,014,-133.0,44.0,63.0,64.0,-56.0,0.789062,0.213379,-0.575989,0.003967,-0.022901,-0.022901,-0.015267,8.858521,3.239551,2.394971,-0.065796,-0.015552,-0.008374,-0.00957,0.003589,-0.066992
1620725531.212409,014,-134.0,44.0,60.0,64.0,-55.0,0.789001,0.213257,-0.576172,0.003479,-0.022901,-0.022901,-0.022901,8.888428,3.228784,2.383008,-0.035889,-0.028711,-0.017944,0.010767,-0.010767,-0.045459
1620725531.222329,014,-135.0,44.0,62.0,67.0,-56.0,0.788879,0.213257,-0.576355,0.002991,-0.022901,-0.022901,-0.030534,8.906372,3.221606,2.368652,-0.016748,-0.04187,-0.028711,0.029907,-0.023926,-0.035889
1620725531.2318206,014,-133.0,45.0,63.0,64.0,-58.0,0.788757,0.213318,-0.576477,0.002563,-0.015267,-0.015267,-0.030534,8.937475,3.190503,2.339942,0.014355,-0.077759,-0.053833,0.072974,-0.055029,-0.025122
1620725531.2416599,014,-135.0,44.0,61.0,64.0,-56.0,0.788635,0.21344,-0.57666,0.002258,-0.007634,-0.015267,-0.022901,9.003271,3.151025,2.312427,0.080151,-0.122021,-0.076563,0.126807,-0.104077,0.013159
1620725531.2516298,014,-136.0,42.0,63.0,62.0,-56.0,0.788513,0.213562,-0.57666,0.002136,0.0,-0.007634,-0.015267,8.973364,3.213233,2.306445,0.05144,-0.062207,-0.080151,0.105273,-0.040674,0.005981
1620725531.261626,014,-136.0,44.0,63.0,63.0,-57.0,0.788513,0.213684,-0.57666,0.001892,-0.015267,-0.007634,-0.015267,8.947046,3.274243,2.313623,0.026318,-0.005981,-0.072974,0.076563,0.011963,0.003589
1620725531.271803,014,-135.0,43.0,62.0,60.0,-57.0,0.788452,0.213562,-0.576782,0.00177,-0.015267,-0.007634,0.0,8.963794,3.257495,2.306445,0.04187,-0.022729,-0.077759,0.089722,-0.003589,0.010767
1620725531.2816095,014,-137.0,41.0,63.0,68.0,-52.0,0.788452,0.213501,-0.576843,0.001831,-0.007634,-0.007634,0.0,8.968579,3.269458,2.295679,0.045459,-0.008374,-0.088525,0.096899,0.010767,0.016748
1620725531.2917624,014,-133.0,44.0,63.0,63.0,-57.0,0.788452,0.21344,-0.576904,0.001892,0.0,0.0,0.0,8.966187,3.238354,2.283716,0.04187,-0.038281,-0.099292,0.113647,-0.010767,0.0
1620725531.301737,014,-135.0,42.0,62.0,64.0,-56.0,0.788391,0.213501,-0.576904,0.002075,0.007634,0.0,0.0,8.964991,3.222803,2.260986,0.040674,-0.052637,-0.120825,0.136377,-0.016748,-0.00957
1620725531.3117723,014,-133.0,44.0,60.0,63.0,-54.0,0.788391,0.213684,-0.576843,0.002258,0.015267,0.007634,0.0,8.967382,3.244336,2.251416,0.044263,-0.031104,-0.130396,0.139966,0.004785,-0.001196
1620725531.3214955,014,-133.0,43.0,62.0,63.0,-55.0,0.788391,0.213989,-0.576721,0.002441,0.015267,0.015267,-0.007634,8.936279,3.306543,2.251416,0.013159,0.026318,-0.131592,0.117236,0.0646,-0.010767
1620725531.3317199,014,-135.0,44.0,62.0,64.0,-56.0,0.788513,0.214233,-0.576477,0.002441,0.007634,0.007634,-0.007634,8.901587,3.32688,2.255005,-0.017944,0.043066,-0.131592,0.101685,0.087329,-0.033496
1620725531.3415291,014,-133.0,43.0,62.0,66.0,-59.0,0.788574,0.214478,-0.576355,0.002502,0.007634,0.007634,-0.007634,8.877661,3.308936,2.263379,-0.040674,0.021533,-0.124414,0.093311,0.071777,-0.059814
1620725531.3516464,014,-134.0,42.0,62.0,67.0,-57.0,0.788635,0.214661,-0.576172,0.002502,0.0,0.007634,-0.015267,8.835791,3.349609,2.288501,-0.080151,0.058618,-0.101685,0.050244,0.10647,-0.077759
1620725531.3616602,014,-137.0,45.0,62.0,64.0,-59.0,0.788635,0.214783,-0.57605,0.002258,-0.007634,0.0,-0.015267,8.827417,3.377124,2.308838,-0.086133,0.082544,-0.081348,0.023926,0.123218,-0.069385
1620725531.3717427,014,-133.0,41.0,60.0,62.0,-59.0,0.788696,0.214783,-0.57605,0.002075,-0.015267,0.0,-0.007634,8.874072,3.319702,2.31123,-0.039478,0.022729,-0.080151,0.052637,0.057422,-0.046655
1620725531.381617,014,-134.0,43.0,62.0,62.0,-54.0,0.788696,0.214783,-0.575989,0.002014,-0.007634,0.0,-0.007634,8.894409,3.316113,2.317212,-0.017944,0.017944,-0.075366,0.057422,0.045459,-0.027515
1620725531.3917081,014,-135.0,41.0,60.0,64.0,-56.0,0.788757,0.214722,-0.575989,0.001953,-0.007634,0.0,-0.007634,8.903979,3.286206,2.329175,-0.008374,-0.010767,-0.0646,0.057422,0.013159,-0.026318
1620725531.4015944,014,-136.0,41.0,62.0,64.0,-59.0,0.788757,0.214722,-0.575989,0.002014,0.0,0.0,0.0,8.936279,3.221606,2.325586,0.022729,-0.07417,-0.068188,0.087329,-0.049048,-0.020337
1620725531.4115553,014,-135.0,43.0,61.0,63.0,-56.0,0.788757,0.214844,-0.575928,0.002258,0.015267,0.0,0.0,8.960205,3.204858,2.336353,0.046655,-0.090918,-0.057422,0.089722,-0.07417,-0.001196
1620725531.4215643,014,-135.0,42.0,62.0,63.0,-61.0,0.788757,0.215088,-0.575867,0.002441,0.015267,0.007634,-0.007634,8.945849,3.26228,2.351904,0.0323,-0.034692,-0.040674,0.056226,-0.025122,0.007178
1620725531.4315004,014,-134.0,43.0,63.0,64.0,-59.0,0.788757,0.215271,-0.575745,0.00238,0.0,0.0,-0.007634,8.942261,3.27544,2.372241,0.031104,-0.025122,-0.021533,0.035889,-0.022729,0.014355
1620725531.4415164,014,-137.0,43.0,61.0,63.0,-57.0,0.788757,0.215332,-0.575745,0.00238,0.0,-0.007634,-0.015267,8.943457,3.274243,2.390186,0.0323,-0.027515,-0.003589,0.020337,-0.031104,0.019141
1620725531.4514523,014,-134.0,43.0,62.0,64.0,-55.0,0.788696,0.215454,-0.575745,0.002258,0.0,-0.007634,-0.015267,8.973364,3.28501,2.399756,0.063403,-0.019141,0.005981,0.020337,-0.034692,0.052637
1620725531.461544,014,-134.0,43.0,63.0,64.0,-57.0,0.788696,0.215576,-0.575684,0.002136,-0.007634,0.0,-0.015267,8.994898,3.281421,2.391382,0.086133,-0.026318,-0.001196,0.035889,-0.044263,0.068188
1620725531.4716666,014,-131.0,43.0,63.0,63.0,-57.0,0.788757,0.215637,-0.575623,0.001953,-0.007634,0.0,-0.015267,8.993701,3.26228,2.36626,0.086133,-0.049048,-0.027515,0.065796,-0.055029,0.053833
1620725531.481486,014,-136.0,42.0,63.0,63.0,-58.0,0.788757,0.215759,-0.575562,0.001892,0.0,0.0,-0.015267,8.98772,3.245532,2.349512,0.081348,-0.068188,-0.044263,0.08374,-0.065796,0.039478
1620725531.491619,014,-135.0,44.0,60.0,66.0,-56.0,0.788757,0.215942,-0.5755,0.001892,0.007634,0.007634,-0.015267,8.988916,3.253906,2.348315,0.08374,-0.062207,-0.045459,0.084937,-0.061011,0.043066
1620725531.5015664,014,-132.0,43.0,62.0,64.0,-56.0,0.788818,0.216125,-0.575317,0.001892,0.007634,0.007634,-0.015267,8.937475,3.307739,2.348315,0.033496,-0.011963,-0.047852,0.057422,-0.002393,0.014355
1620725531.5114725,014,-133.0,43.0,62.0,64.0,-55.0,0.788879,0.216309,-0.575195,0.001831,0.0,0.0,-0.007634,8.871679,3.324487,2.361475,-0.028711,0.0,-0.035889,0.022729,0.019141,-0.034692
1620725531.5215166,014,-132.0,42.0,63.0,67.0,-56.0,0.788879,0.21637,-0.575134,0.00177,0.0,-0.007634,-0.007634,8.856128,3.314917,2.368652,-0.043066,-0.00957,-0.028711,0.013159,0.010767,-0.049048
