timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621260898.9493818,017,53.0,39.0,52.0,55.0,33.0,0.753174,0.061829,-0.654785,-0.012939,-0.045802,-0.030534,-0.007634,9.356176,1.073071,0.95105,-0.293091,-0.004785,-0.369653,0.322998,0.052637,-0.33855
1621260898.9594717,017,53.0,39.0,58.0,56.0,35.0,0.752808,0.061462,-0.655212,-0.013367,-0.038168,-0.030534,-0.015267,9.396851,1.030005,0.923535,-0.253613,-0.047852,-0.387598,0.349316,0.005981,-0.30625
1621260898.9693258,017,51.0,40.0,58.0,54.0,35.0,0.752563,0.061218,-0.655518,-0.013733,-0.030534,-0.015267,-0.015267,9.439917,0.974976,0.894824,-0.211743,-0.104077,-0.409131,0.38042,-0.05144,-0.27395
1621260898.9793909,017,52.0,38.0,55.0,52.0,33.0,0.752319,0.061096,-0.655762,-0.013977,-0.015267,-0.007634,-0.015267,9.450684,0.916357,0.872095,-0.200977,-0.163892,-0.424683,0.400757,-0.110059,-0.271558
1621260898.9895139,017,53.0,39.0,54.0,51.0,36.0,0.752197,0.061279,-0.655945,-0.014099,0.007634,-0.007634,-0.022901,9.442309,0.880469,0.856543,-0.210547,-0.203369,-0.436646,0.413916,-0.147144,-0.287109
1621260898.99945,017,53.0,41.0,58.0,55.0,33.0,0.752075,0.061707,-0.656067,-0.014099,0.015267,0.0,-0.030534,9.459058,0.880469,0.857739,-0.193799,-0.209351,-0.430664,0.410327,-0.155518,-0.270361
1621260899.0094025,017,49.0,37.0,58.0,53.0,37.0,0.751953,0.062256,-0.656067,-0.014038,0.022901,0.0,-0.030534,9.471021,0.949854,0.87688,-0.18064,-0.147144,-0.409131,0.387598,-0.095703,-0.247632
1621260899.0195029,017,53.0,39.0,59.0,54.0,34.0,0.751953,0.062744,-0.656067,-0.01416,0.0,0.007634,-0.022901,9.456665,1.130493,0.935498,-0.194995,0.022729,-0.350513,0.317017,0.068188,-0.234473
1621260899.0287285,017,53.0,37.0,58.0,115.0,33.0,0.752014,0.062805,-0.656006,-0.014648,-0.030534,0.0,-0.007634,9.450684,1.210644,0.968994,-0.19978,0.095703,-0.318213,0.279932,0.13877,-0.227295
1621260899.039379,017,53.0,40.0,60.0,51.0,36.0,0.752014,0.062439,-0.656006,-0.015015,-0.038168,0.0,-0.007634,9.444702,1.15083,0.965405,-0.205762,0.037085,-0.322998,0.288306,0.081348,-0.240454
1621260899.0493233,017,51.0,37.0,54.0,51.0,36.0,0.752014,0.062195,-0.656006,-0.015198,-0.022901,0.0,-0.007634,9.418384,1.063501,0.943872,-0.23208,-0.047852,-0.344531,0.311035,0.001196,-0.278735
1621260899.0596242,017,49.0,39.0,58.0,51.0,37.0,0.751953,0.062256,-0.656067,-0.01532,0.0,0.0,-0.015267,9.395655,1.037183,0.946265,-0.25481,-0.076563,-0.340942,0.305054,-0.023926,-0.303857
1621260899.069289,017,51.0,39.0,55.0,53.0,39.0,0.751892,0.062561,-0.656128,-0.015503,0.007634,-0.007634,-0.022901,9.389673,1.068286,0.972583,-0.259595,-0.052637,-0.312231,0.275146,-0.001196,-0.301465
1621260899.0794647,017,54.0,41.0,58.0,52.0,37.0,0.75177,0.062927,-0.656189,-0.015686,0.0,-0.007634,-0.022901,9.424365,1.116138,1.00249,-0.224902,-0.011963,-0.279932,0.245239,0.0323,-0.258398
1621260899.0887618,017,52.0,41.0,58.0,55.0,39.0,0.751709,0.063171,-0.656311,-0.015869,0.0,-0.007634,-0.022901,9.444702,1.119727,1.022827,-0.204565,-0.014355,-0.256006,0.224902,0.026318,-0.235669
1621260899.099399,017,53.0,41.0,60.0,54.0,35.0,0.751587,0.063538,-0.656372,-0.015991,0.015267,-0.007634,-0.022901,9.461451,1.086231,1.026416,-0.186621,-0.055029,-0.250024,0.223706,-0.015552,-0.22251
1621260899.109372,017,54.0,40.0,60.0,53.0,37.0,0.751526,0.064026,-0.656372,-0.015869,0.022901,0.0,-0.022901,9.469824,1.14126,1.062305,-0.178247,-0.005981,-0.211743,0.184229,0.028711,-0.203369
1621260899.1195304,017,52.0,40.0,58.0,55.0,33.0,0.751526,0.064514,-0.656311,-0.015991,0.007634,0.0,-0.015267,9.49375,1.262085,1.10896,-0.153125,0.105273,-0.166284,0.136377,0.132788,-0.159106
1621260899.1288548,017,52.0,41.0,58.0,55.0,33.0,0.751587,0.064575,-0.65625,-0.016174,-0.015267,0.0,-0.007634,9.488965,1.313525,1.123315,-0.156714,0.153125,-0.153125,0.119629,0.179443,-0.155518
1621260899.1387117,017,53.0,39.0,57.0,48.0,32.0,0.751648,0.064392,-0.656189,-0.016418,-0.022901,0.0,0.0,9.448291,1.297974,1.117334,-0.197388,0.137573,-0.161499,0.123218,0.169873,-0.198584
1621260899.148675,017,50.0,40.0,57.0,54.0,40.0,0.751587,0.064148,-0.65625,-0.016602,-0.022901,-0.007634,0.0,9.418384,1.228589,1.098193,-0.227295,0.069385,-0.179443,0.141162,0.10647,-0.238062
1621260899.158784,017,53.0,40.0,58.0,56.0,35.0,0.751465,0.064087,-0.656433,-0.016663,-0.007634,-0.007634,-0.007634,9.445898,1.169971,1.082642,-0.200977,0.010767,-0.19021,0.159106,0.046655,-0.220117
1621260899.168815,017,52.0,40.0,58.0,54.0,51.0,0.751404,0.064209,-0.656494,-0.016602,0.007634,0.0,-0.007634,9.486572,1.178345,1.088623,-0.160303,0.017944,-0.183032,0.156714,0.047852,-0.178247
1621260899.1787262,017,52.0,41.0,57.0,54.0,33.0,0.751404,0.064392,-0.656433,-0.016602,0.007634,0.0,-0.007634,9.469824,1.193897,1.089819,-0.175854,0.031104,-0.181836,0.153125,0.063403,-0.192603
1621260899.1886938,017,53.0,41.0,86.0,54.0,31.0,0.751465,0.064575,-0.656433,-0.016541,0.007634,0.0,-0.007634,9.430346,1.1927,1.085034,-0.216528,0.028711,-0.187817,0.153125,0.065796,-0.233276
1621260899.198797,017,53.0,40.0,57.0,54.0,37.0,0.751404,0.064697,-0.656433,-0.016541,0.0,0.0,-0.007634,9.425562,1.21543,1.112549,-0.220117,0.049048,-0.159106,0.123218,0.08374,-0.230884
1621260899.2085006,017,50.0,38.0,57.0,52.0,34.0,0.751404,0.064697,-0.656433,-0.016541,-0.007634,0.0,0.0,9.472217,1.221411,1.134082,-0.173462,0.055029,-0.137573,0.107666,0.08374,-0.181836
1621260899.2187955,017,53.0,40.0,56.0,53.0,33.0,0.751465,0.064575,-0.656433,-0.016541,-0.007634,0.0,0.0,9.479395,1.216626,1.125708,-0.16748,0.052637,-0.147144,0.118433,0.081348,-0.177051
1621260899.2286153,017,52.0,36.0,59.0,53.0,36.0,0.751465,0.064453,-0.656433,-0.016541,-0.015267,0.0,0.0,9.447095,1.191504,1.106567,-0.19978,0.028711,-0.166284,0.135181,0.062207,-0.214136
1621260899.2388167,017,51.0,42.0,60.0,56.0,38.0,0.751404,0.064331,-0.656494,-0.016541,-0.007634,-0.007634,0.0,9.438721,1.130493,1.080249,-0.208154,-0.028711,-0.19021,0.160303,0.008374,-0.23208
1621260899.2485878,017,52.0,39.0,58.0,55.0,36.0,0.751282,0.064392,-0.656616,-0.016479,0.007634,-0.007634,-0.007634,9.443506,1.088623,1.064697,-0.203369,-0.070581,-0.203369,0.177051,-0.0323,-0.234473
1621260899.258824,017,51.0,39.0,60.0,56.0,37.0,0.751221,0.064575,-0.656677,-0.016357,0.007634,-0.007634,-0.007634,9.443506,1.085034,1.063501,-0.204565,-0.075366,-0.202173,0.175854,-0.035889,-0.235669
1621260899.2686172,017,53.0,40.0,56.0,55.0,37.0,0.751038,0.064819,-0.65686,-0.016357,0.007634,-0.007634,-0.015267,9.441113,1.10896,1.061108,-0.206958,-0.055029,-0.198584,0.171069,-0.016748,-0.235669
1621260899.2787335,017,52.0,39.0,58.0,51.0,35.0,0.750916,0.065002,-0.656982,-0.016418,0.0,-0.015267,-0.007634,9.436328,1.124512,1.061108,-0.211743,-0.043066,-0.194995,0.166284,-0.003589,-0.238062
1621260899.2886577,017,53.0,40.0,57.0,54.0,33.0,0.750732,0.065063,-0.657166,-0.016418,0.0,-0.015267,-0.007634,9.473413,1.095801,1.050342,-0.174658,-0.072974,-0.200977,0.179443,-0.037085,-0.205762
