timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621344269.842424,018,-7.0,27.0,-66.0,-87.0,-53.0,0.730774,-0.002014,-0.682495,0.013855,0.0,0.0,0.015267,9.469824,-0.112451,0.680689,-0.305054,0.101685,0.00957,-0.031104,0.093311,-0.305054
1621344269.8524334,018,-8.0,28.0,-63.0,-86.0,-51.0,0.730835,-0.002319,-0.682434,0.014038,-0.007634,0.0,0.015267,9.448291,-0.162695,0.655566,-0.325391,0.057422,-0.015552,-0.007178,0.049048,-0.326587
1621344269.8625393,018,-10.0,28.0,-65.0,-87.0,-54.0,0.730774,-0.002625,-0.682434,0.014343,-0.007634,0.0,0.015267,9.435132,-0.247632,0.6125,-0.33855,-0.017944,-0.058618,0.034692,-0.025122,-0.340942
1621344269.8722095,018,-7.0,29.0,-61.0,-88.0,-53.0,0.730835,-0.002869,-0.682434,0.014648,0.0,0.0,0.015267,9.445898,-0.302661,0.575415,-0.327783,-0.0646,-0.096899,0.075366,-0.070581,-0.331372
1621344269.8823345,018,-7.0,28.0,-63.0,-89.0,-51.0,0.730896,-0.003052,-0.682373,0.015015,0.007634,0.007634,0.015267,9.450684,-0.349316,0.53833,-0.322998,-0.104077,-0.135181,0.113647,-0.110059,-0.327783
1621344269.8923676,018,-8.0,29.0,-65.0,-84.0,-51.0,0.730957,-0.003113,-0.682251,0.01532,0.007634,0.015267,0.007634,9.450684,-0.363672,0.500049,-0.321802,-0.113647,-0.175854,0.154321,-0.118433,-0.330176
1621344269.902443,018,-7.0,28.0,-64.0,-88.0,-55.0,0.731079,-0.003174,-0.682129,0.015564,0.007634,0.015267,0.007634,9.439917,-0.352905,0.476123,-0.332568,-0.099292,-0.203369,0.18064,-0.104077,-0.342139
1621344269.9122272,018,-8.0,29.0,-62.0,-90.0,-51.0,0.73114,-0.003235,-0.682007,0.015686,0.0,0.007634,0.0,9.410009,-0.355298,0.460571,-0.361279,-0.098096,-0.221313,0.197388,-0.104077,-0.372046
1621344269.9222822,018,-7.0,26.0,-63.0,-88.0,-52.0,0.731201,-0.003235,-0.682007,0.015808,0.0,0.0,0.0,9.380102,-0.333765,0.460571,-0.392383,-0.075366,-0.22251,0.194995,-0.081348,-0.404346
1621344269.9322827,018,-9.0,31.0,-61.0,-88.0,-52.0,0.73114,-0.003174,-0.682007,0.01593,0.0,-0.007634,0.0,9.362158,-0.305054,0.474927,-0.409131,-0.045459,-0.206958,0.178247,-0.052637,-0.421094
1621344269.942501,018,-9.0,27.0,-62.0,-92.0,-53.0,0.731079,-0.003113,-0.682129,0.01593,0.0,-0.007634,-0.007634,9.375318,-0.289502,0.500049,-0.397168,-0.031104,-0.179443,0.151929,-0.038281,-0.406738
1621344269.9524996,018,-8.0,26.0,-62.0,-86.0,-50.0,0.731079,-0.003113,-0.682129,0.01593,-0.007634,0.0,0.0,9.388476,-0.261987,0.523975,-0.384009,-0.003589,-0.155518,0.128003,-0.010767,-0.393579
1621344269.9623299,018,-7.0,29.0,-62.0,-86.0,-49.0,0.731079,-0.003174,-0.682068,0.015869,-0.015267,0.0,0.0,9.370532,-0.218921,0.537134,-0.400757,0.038281,-0.143555,0.113647,0.028711,-0.410327
1621344269.9722176,018,-9.0,32.0,-63.0,-93.0,-5.0,0.73114,-0.003357,-0.682068,0.015686,-0.022901,0.0,0.0,9.325073,-0.212939,0.537134,-0.447412,0.044263,-0.144751,0.112451,0.033496,-0.456982
1621344269.9822931,018,-7.0,32.0,-63.0,-88.0,-48.0,0.731079,-0.003601,-0.682068,0.015442,-0.022901,0.0,-0.007634,9.273633,-0.277539,0.498853,-0.497656,-0.019141,-0.181836,0.147144,-0.029907,-0.507227
1621344269.9922836,018,-7.0,29.0,-65.0,-92.0,-51.0,0.731018,-0.003784,-0.68219,0.015259,-0.015267,-0.007634,-0.015267,9.234156,-0.350513,0.477319,-0.53833,-0.092114,-0.200977,0.163892,-0.102881,-0.5479
1621344270.002176,018,-9.0,28.0,-65.0,-88.0,-50.0,0.730835,-0.003662,-0.682373,0.014954,-0.007634,-0.015267,-0.030534,9.185107,-0.411523,0.47373,-0.587378,-0.15791,-0.198584,0.160303,-0.169873,-0.594556
1621344270.0122106,018,-8.0,28.0,-62.0,-86.0,-52.0,0.730591,-0.003357,-0.682617,0.014648,0.0,-0.030534,-0.045802,9.151611,-0.441431,0.498853,-0.62207,-0.196191,-0.16748,0.128003,-0.209351,-0.626855
1621344270.022374,018,-7.0,29.0,-63.0,-90.0,-52.0,0.730286,-0.00293,-0.682983,0.01416,0.0,-0.038168,-0.053435,9.193481,-0.472534,0.534741,-0.581396,-0.240454,-0.122021,0.086133,-0.252417,-0.581396
1621344270.0322437,018,-10.0,29.0,-62.0,-87.0,-38.0,0.72998,-0.00238,-0.68335,0.013733,0.007634,-0.030534,-0.053435,9.285596,-0.492871,0.569434,-0.490479,-0.27395,-0.077759,0.049048,-0.283521,-0.488086
1621344270.0424037,018,-5.0,33.0,-62.0,-89.0,-51.0,0.729797,-0.001709,-0.683533,0.013367,0.015267,-0.022901,-0.053435,9.380102,-0.440234,0.607715,-0.395972,-0.235669,-0.034692,0.011963,-0.242847,-0.392383
1621344270.0523727,018,-7.0,27.0,-65.0,-86.0,-52.0,0.729736,-0.001038,-0.683594,0.012878,0.0,-0.007634,-0.053435,9.425562,-0.31582,0.632837,-0.350513,-0.128003,-0.007178,-0.013159,-0.133984,-0.346924
1621344270.062172,018,-8.0,28.0,-65.0,-89.0,-54.0,0.729736,-0.000488,-0.683655,0.012146,-0.015267,-0.007634,-0.045802,9.429151,-0.197388,0.638818,-0.34812,-0.027515,0.0,-0.021533,-0.033496,-0.345728
1621344270.0722866,018,-5.0,27.0,-63.0,-84.0,-53.0,0.729675,-0.000183,-0.683716,0.011414,-0.030534,-0.007634,-0.045802,9.436328,-0.105273,0.648389,-0.340942,0.050244,0.00957,-0.0323,0.044263,-0.339746
1621344270.0823839,018,-9.0,27.0,-61.0,-88.0,-49.0,0.729614,-0.000122,-0.683777,0.010498,-0.038168,-0.015267,-0.038168,9.454272,-0.059814,0.65437,-0.322998,0.082544,0.017944,-0.039478,0.076563,-0.321802
1621344270.091636,018,-9.0,27.0,-63.0,-88.0,-51.0,0.729492,-0.000183,-0.683899,0.009644,-0.038168,-0.015267,-0.038168,9.502124,-0.092114,0.653174,-0.275146,0.039478,0.020337,-0.038281,0.034692,-0.272754
1621344270.1023455,018,-7.0,29.0,-63.0,-90.0,-50.0,0.72937,-0.000122,-0.684021,0.008972,-0.030534,-0.015267,-0.045802,9.543994,-0.15791,0.647192,-0.234473,-0.034692,0.017944,-0.0323,-0.037085,-0.23208
1621344270.112195,018,-5.0,26.0,-61.0,-88.0,-38.0,0.72937,0.000122,-0.684082,0.008423,-0.007634,-0.007634,-0.045802,9.606201,-0.185425,0.672314,-0.172266,-0.07417,0.044263,-0.053833,-0.076563,-0.16748
1621344270.1214273,018,-8.0,29.0,-63.0,-88.0,-47.0,0.72937,0.00061,-0.684021,0.007996,0.0,0.0,-0.045802,9.656446,-0.15791,0.709399,-0.122021,-0.058618,0.080151,-0.086133,-0.059814,-0.114844
1621344270.132248,018,-5.0,26.0,-63.0,-88.0,-48.0,0.729492,0.001099,-0.68396,0.007629,0.0,0.0,-0.038168,9.682764,-0.049048,0.758447,-0.095703,0.037085,0.126807,-0.132788,0.033496,-0.087329
1621344270.1413891,018,-8.0,27.0,-65.0,-88.0,-52.0,0.729614,0.001465,-0.683777,0.007141,-0.015267,0.0,-0.022901,9.695923,0.057422,0.805103,-0.082544,0.131592,0.168677,-0.174658,0.128003,-0.071777
1621344270.1517015,018,-9.0,27.0,-63.0,-90.0,-52.0,0.729736,0.001404,-0.683655,0.006653,-0.030534,0.0,-0.015267,9.70669,0.068188,0.829028,-0.070581,0.136377,0.19021,-0.194995,0.132788,-0.058618
1621344270.1615295,018,-7.0,27.0,-62.0,-88.0,-51.0,0.729858,0.001221,-0.683594,0.006409,-0.022901,0.0,-0.007634,9.721045,0.037085,0.850561,-0.057422,0.105273,0.208154,-0.211743,0.101685,-0.044263
1621344270.1717005,018,-9.0,31.0,-64.0,-87.0,-53.0,0.729919,0.00116,-0.683472,0.006287,-0.007634,-0.007634,-0.007634,9.711474,0.007178,0.860132,-0.065796,0.07417,0.215332,-0.218921,0.070581,-0.05144
1621344270.1816442,018,-5.0,29.0,-63.0,-89.0,-49.0,0.729919,0.001221,-0.683472,0.006226,0.0,-0.007634,-0.007634,9.701904,-0.011963,0.855347,-0.075366,0.053833,0.210547,-0.215332,0.050244,-0.061011
1621344270.1913795,018,-8.0,29.0,-63.0,-89.0,-52.0,0.729858,0.001343,-0.683533,0.006165,0.0,-0.015267,-0.007634,9.70669,-0.002393,0.860132,-0.070581,0.059814,0.217725,-0.221313,0.056226,-0.056226
1621344270.2016692,018,-10.0,29.0,-60.0,-87.0,-46.0,0.729797,0.001465,-0.683655,0.006165,0.0,-0.015267,-0.007634,9.70669,0.001196,0.846973,-0.071777,0.062207,0.206958,-0.211743,0.058618,-0.057422
1621344270.2115638,018,-7.0,27.0,-63.0,-87.0,-51.0,0.729675,0.001526,-0.683777,0.006165,0.0,-0.015267,-0.007634,9.67439,-0.014355,0.814673,-0.104077,0.045459,0.178247,-0.184229,0.04187,-0.092114
1621344270.2214622,018,-5.0,28.0,-64.0,-88.0,-51.0,0.729553,0.001648,-0.683899,0.006226,0.007634,-0.022901,0.0,9.62295,-0.023926,0.777588,-0.155518,0.035889,0.144751,-0.154321,0.0323,-0.145947
1621344270.231451,018,-7.0,29.0,-65.0,-86.0,-51.0,0.729309,0.001709,-0.684143,0.006348,0.0,-0.022901,0.0,9.587061,-0.028711,0.73811,-0.192603,0.031104,0.111255,-0.123218,0.027515,-0.184229
1621344270.2414424,018,-10.0,27.0,-63.0,-121.0,-53.0,0.729065,0.001648,-0.684448,0.00647,0.0,-0.030534,0.007634,9.571508,-0.0323,0.71897,-0.208154,0.029907,0.100488,-0.113647,0.026318,-0.200977
1621344270.2515671,018,-8.0,29.0,-62.0,-86.0,-51.0,0.728821,0.001465,-0.684692,0.006592,-0.007634,-0.022901,0.007634,9.572705,-0.077759,0.692651,-0.208154,-0.00957,0.080151,-0.092114,-0.011963,-0.202173
1621344270.2615175,018,-8.0,29.0,-60.0,-94.0,-55.0,0.728577,0.00116,-0.684875,0.006775,-0.007634,-0.022901,0.015267,9.569117,-0.11604,0.649585,-0.210547,-0.040674,0.043066,-0.055029,-0.04187,-0.206958
1621344270.2716544,018,-7.0,28.0,-63.0,-88.0,-49.0,0.728394,0.000854,-0.68512,0.006897,-0.015267,-0.015267,0.015267,9.541601,-0.163892,0.569434,-0.239258,-0.082544,-0.029907,0.015552,-0.08374,-0.239258
1621344270.281616,018,-5.0,29.0,-64.0,-88.0,-54.0,0.72821,0.000488,-0.685303,0.007019,-0.015267,-0.015267,0.007634,9.478198,-0.205762,0.480908,-0.302661,-0.118433,-0.113647,0.095703,-0.119629,-0.307446
1621344270.29139,018,-9.0,27.0,-63.0,-89.0,-48.0,0.727905,0.000305,-0.685669,0.007141,-0.007634,-0.022901,0.0,9.420776,-0.244043,0.401953,-0.361279,-0.151929,-0.183032,0.162695,-0.153125,-0.369653
1621344270.3014956,018,-10.0,30.0,-62.0,-82.0,-52.0,0.727539,0.000366,-0.686035,0.007202,0.0,-0.030534,-0.007634,9.395655,-0.279932,0.337354,-0.386401,-0.187817,-0.238062,0.216528,-0.189014,-0.397168
1621344270.3115616,018,-5.0,29.0,-63.0,-88.0,-52.0,0.727112,0.000549,-0.686462,0.007324,0.007634,-0.030534,-0.015267,9.410009,-0.275146,0.307446,-0.372046,-0.184229,-0.256006,0.235669,-0.184229,-0.384009
1621344270.3216698,018,-9.0,30.0,-60.0,-88.0,-50.0,0.726746,0.000793,-0.686829,0.007385,0.007634,-0.022901,-0.015267,9.444702,-0.235669,0.30625,-0.33855,-0.147144,-0.246436,0.228491,-0.147144,-0.350513
1621344270.3315585,018,-5.0,27.0,-63.0,-88.0,-51.0,0.726562,0.000916,-0.687073,0.007446,0.0,-0.015267,-0.007634,9.492554,-0.187817,0.312231,-0.291895,-0.100488,-0.234473,0.218921,-0.100488,-0.302661
1621344270.3414495,018,-3.0,29.0,-73.0,-85.0,-49.0,0.72644,0.000916,-0.687195,0.007507,0.0,-0.007634,0.0,9.522461,-0.168677,0.330176,-0.261987,-0.080151,-0.212939,0.198584,-0.080151,-0.271558
