timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621399603.4899037,019,15.0,29.0,38.0,-6.0,-43.0,0.636902,0.019775,-0.77063,0.005188,-0.007634,-0.015267,0.0,9.333447,0.277539,-1.984644,-0.288306,0.108862,-0.136377,0.183032,0.119629,-0.25481
1621399603.5000367,019,15.0,27.0,37.0,-7.0,-44.0,0.636719,0.019653,-0.770874,0.005066,-0.015267,-0.022901,0.0,9.338232,0.290698,-1.983447,-0.283521,0.120825,-0.129199,0.174658,0.131592,-0.251221
1621399603.5100546,019,16.0,30.0,37.0,-7.0,-44.0,0.636475,0.01947,-0.771057,0.005005,-0.015267,-0.022901,0.007634,9.350195,0.247632,-1.983447,-0.270361,0.080151,-0.123218,0.168677,0.089722,-0.240454
1621399603.519868,019,16.0,29.0,41.0,-7.0,-43.0,0.636169,0.019226,-0.771301,0.005127,-0.007634,-0.022901,0.007634,9.358569,0.194995,-1.996606,-0.259595,0.0323,-0.129199,0.174658,0.04187,-0.228491
1621399603.5299737,019,17.0,29.0,39.0,-6.0,-42.0,0.635986,0.019104,-0.771484,0.005371,0.0,-0.015267,0.007634,9.351392,0.151929,-2.01814,-0.266772,-0.004785,-0.144751,0.192603,0.004785,-0.233276
1621399603.5398757,019,17.0,30.0,38.0,-5.0,-44.0,0.635803,0.019104,-0.771606,0.005615,0.015267,-0.007634,0.0,9.33584,0.110059,-2.034888,-0.281128,-0.043066,-0.15791,0.209351,-0.031104,-0.245239
1621399603.5498602,019,17.0,29.0,31.0,-7.0,-44.0,0.63562,0.019287,-0.771729,0.00592,0.015267,-0.007634,-0.007634,9.309522,0.090918,-2.055225,-0.30625,-0.058618,-0.174658,0.230884,-0.045459,-0.266772
1621399603.5598361,019,16.0,31.0,36.0,-7.0,-45.0,0.635498,0.019531,-0.771851,0.006226,0.022901,-0.007634,-0.007634,9.301147,0.093311,-2.058814,-0.314624,-0.055029,-0.174658,0.233276,-0.04187,-0.275146
1621399603.570095,019,17.0,28.0,42.0,-7.0,-41.0,0.635437,0.019775,-0.771851,0.00647,0.022901,0.0,-0.007634,9.329859,0.096899,-2.054028,-0.284717,-0.05144,-0.168677,0.221313,-0.038281,-0.247632
1621399603.5800622,019,17.0,29.0,40.0,-6.0,-43.0,0.635498,0.02002,-0.77179,0.006775,0.015267,0.007634,0.0,9.326269,0.093311,-2.067188,-0.289502,-0.052637,-0.183032,0.236865,-0.039478,-0.248828
1621399603.5898473,019,18.0,29.0,38.0,-5.0,-45.0,0.63562,0.020142,-0.771729,0.007019,0.007634,0.007634,0.0,9.283203,0.130396,-2.044458,-0.333765,-0.014355,-0.162695,0.223706,0.0,-0.295483
1621399603.599835,019,19.0,30.0,40.0,-7.0,-43.0,0.635681,0.020081,-0.771667,0.007019,-0.007634,0.0,0.007634,9.235352,0.185425,-2.008569,-0.381616,0.040674,-0.129199,0.197388,0.052637,-0.34812
1621399603.6099362,019,19.0,31.0,46.0,-7.0,-42.0,0.63562,0.019714,-0.771729,0.006836,-0.030534,-0.007634,0.007634,9.274829,0.149536,-1.990625,-0.340942,0.007178,-0.110059,0.172266,0.017944,-0.312231
1621399603.619762,019,17.0,27.0,40.0,-7.0,-45.0,0.63562,0.019287,-0.771729,0.006775,-0.022901,0.0,0.007634,9.340625,0.037085,-2.020532,-0.275146,-0.100488,-0.139966,0.192603,-0.088525,-0.244043
1621399603.629949,019,16.0,29.0,41.0,-6.0,-42.0,0.635681,0.019043,-0.771667,0.006958,0.0,0.007634,0.0,9.372925,-0.053833,-2.030102,-0.244043,-0.185425,-0.150732,0.200977,-0.174658,-0.212939
1621399603.6398532,019,15.0,31.0,38.0,-6.0,-43.0,0.635803,0.019104,-0.771606,0.007263,0.015267,0.007634,-0.007634,9.326269,-0.0646,-2.036084,-0.291895,-0.192603,-0.159106,0.218921,-0.18064,-0.258398
1621399603.649793,019,18.0,28.0,37.0,-7.0,-43.0,0.635803,0.019348,-0.771545,0.007385,0.007634,0.0,-0.015267,9.308325,-0.008374,-2.000195,-0.308643,-0.137573,-0.124414,0.185425,-0.12561,-0.279932
1621399603.6598403,019,17.0,27.0,40.0,-6.0,-42.0,0.635864,0.019531,-0.771545,0.007324,0.0,0.0,-0.015267,9.352588,0.081348,-1.95354,-0.265576,-0.050244,-0.077759,0.128003,-0.040674,-0.246436
1621399603.669995,019,17.0,28.0,41.0,-7.0,-44.0,0.635986,0.019653,-0.771423,0.007141,-0.015267,0.007634,-0.015267,9.383692,0.137573,-1.924829,-0.234473,0.0,-0.052637,0.095703,0.005981,-0.218921
1621399603.6797116,019,17.0,29.0,41.0,-6.0,-43.0,0.636047,0.019592,-0.771362,0.006897,-0.015267,0.0,-0.007634,9.37771,0.132788,-1.916455,-0.240454,-0.007178,-0.046655,0.090918,0.0,-0.226099
1621399603.6898148,019,17.0,31.0,41.0,-7.0,-45.0,0.635986,0.019409,-0.771423,0.006836,-0.015267,-0.007634,0.0,9.369336,0.104077,-1.910474,-0.248828,-0.033496,-0.038281,0.086133,-0.026318,-0.236865
1621399603.699924,019,17.0,16.0,38.0,-7.0,-43.0,0.635925,0.019287,-0.771484,0.006897,-0.007634,-0.007634,0.007634,9.396851,0.092114,-1.905689,-0.221313,-0.043066,-0.0323,0.075366,-0.037085,-0.210547
1621399603.7097535,019,19.0,29.0,39.0,-7.0,-43.0,0.635864,0.019165,-0.771545,0.007019,0.0,-0.007634,0.007634,9.436328,0.07417,-1.91167,-0.181836,-0.057422,-0.037085,0.072974,-0.05144,-0.171069
1621399603.719811,019,17.0,31.0,40.0,-6.0,-42.0,0.635925,0.019165,-0.771484,0.007263,0.007634,0.0,0.0,9.407618,0.092114,-1.91167,-0.210547,-0.035889,-0.038281,0.078955,-0.029907,-0.19978
1621399603.7297282,019,17.0,31.0,42.0,-7.0,-47.0,0.635864,0.019226,-0.771545,0.007324,0.0,-0.007634,-0.007634,9.32268,0.161499,-1.910474,-0.295483,0.0323,-0.035889,0.089722,0.039478,-0.282324
1621399603.73978,019,17.0,30.0,38.0,-7.0,-45.0,0.635742,0.019287,-0.771606,0.007202,-0.007634,-0.007634,-0.007634,9.334643,0.162695,-1.886548,-0.282324,0.031104,-0.008374,0.059814,0.037085,-0.27395
1621399603.7496533,019,16.0,28.0,38.0,-7.0,-45.0,0.635681,0.019226,-0.771667,0.007019,-0.015267,-0.007634,-0.007634,9.326269,0.178247,-1.891333,-0.290698,0.044263,-0.011963,0.0646,0.050244,-0.282324
1621399603.7598097,019,15.0,28.0,40.0,-6.0,-43.0,0.63562,0.019043,-0.77179,0.006775,-0.022901,-0.007634,-0.007634,9.319092,0.172266,-1.900903,-0.297876,0.037085,-0.019141,0.07417,0.043066,-0.287109
1621399603.7697423,019,15.0,28.0,37.0,-6.0,-41.0,0.635498,0.018799,-0.771851,0.00647,-0.030534,-0.007634,-0.007634,9.307129,0.149536,-1.912866,-0.308643,0.013159,-0.028711,0.086133,0.020337,-0.29668
1621399603.7798629,019,17.0,29.0,36.0,-7.0,-45.0,0.635376,0.018494,-0.771973,0.006165,-0.030534,-0.015267,0.0,9.30354,0.10647,-1.928418,-0.312231,-0.029907,-0.040674,0.100488,-0.021533,-0.297876
1621399603.7897146,019,17.0,30.0,41.0,-7.0,-44.0,0.635193,0.01825,-0.772095,0.005859,-0.030534,-0.015267,-0.007634,9.307129,0.049048,-1.960718,-0.30625,-0.088525,-0.069385,0.129199,-0.078955,-0.288306
1621399603.7998505,019,15.0,27.0,40.0,-7.0,-45.0,0.635071,0.018005,-0.772217,0.005798,-0.015267,-0.007634,-0.007634,9.362158,-0.045459,-2.004981,-0.251221,-0.18064,-0.110059,0.161499,-0.171069,-0.227295
1621399603.8098888,019,17.0,28.0,38.0,-7.0,-47.0,0.63501,0.017944,-0.772278,0.005981,0.007634,0.0,-0.007634,9.365747,-0.071777,-2.025317,-0.247632,-0.204565,-0.129199,0.18064,-0.194995,-0.220117
1621399603.8198402,019,19.0,29.0,40.0,-7.0,-44.0,0.635071,0.018127,-0.772217,0.006104,0.007634,0.0,-0.015267,9.338232,-0.025122,-2.036084,-0.275146,-0.15791,-0.141162,0.196191,-0.147144,-0.244043
1621399603.82984,019,18.0,31.0,44.0,-7.0,-42.0,0.635071,0.018311,-0.772217,0.006104,0.007634,0.007634,-0.015267,9.348999,-0.011963,-2.043262,-0.26438,-0.147144,-0.14834,0.200977,-0.136377,-0.23208
1621399603.8396704,019,15.0,30.0,36.0,-7.0,-45.0,0.635193,0.018433,-0.772156,0.006226,0.0,0.007634,-0.007634,9.364551,0.019141,-2.049243,-0.250024,-0.11604,-0.156714,0.205762,-0.105273,-0.216528
1621399603.8498788,019,17.0,29.0,38.0,-7.0,-47.0,0.635315,0.018433,-0.772034,0.006165,-0.007634,0.015267,0.0,9.359766,0.066992,-2.055225,-0.25481,-0.068188,-0.166284,0.214136,-0.056226,-0.218921
1621399603.859687,019,17.0,30.0,38.0,-7.0,-44.0,0.635498,0.018311,-0.771912,0.006165,-0.007634,0.015267,0.0,9.386084,0.056226,-2.062402,-0.229687,-0.077759,-0.177051,0.220117,-0.066992,-0.191406
1621399603.8698018,019,16.0,27.0,37.0,-7.0,-45.0,0.635681,0.018188,-0.771667,0.006104,-0.015267,0.022901,0.0,9.374121,0.104077,-2.043262,-0.24165,-0.029907,-0.163892,0.206958,-0.019141,-0.205762
1621399603.8798077,019,16.0,29.0,38.0,-7.0,-44.0,0.635925,0.018066,-0.771484,0.005737,-0.030534,0.015267,-0.007634,9.309522,0.18064,-2.013355,-0.307446,0.04187,-0.139966,0.193799,0.05144,-0.27395
1621399603.8896456,019,17.0,28.0,38.0,-7.0,-43.0,0.636047,0.017822,-0.771423,0.005249,-0.038168,0.007634,-0.007634,9.334643,0.132788,-1.984644,-0.283521,-0.00957,-0.113647,0.165088,0.0,-0.256006
1621399603.8997304,019,16.0,29.0,38.0,-7.0,-38.0,0.636169,0.017456,-0.771301,0.004944,-0.030534,0.007634,-0.007634,9.382495,0.078955,-1.95354,-0.235669,-0.063403,-0.086133,0.130396,-0.055029,-0.215332
1621399603.9097898,019,13.0,28.0,40.0,-6.0,-47.0,0.636292,0.017212,-0.77124,0.0047,-0.022901,0.007634,-0.007634,9.362158,0.066992,-1.934399,-0.257202,-0.076563,-0.069385,0.118433,-0.068188,-0.239258
1621399603.9197526,019,18.0,28.0,37.0,-7.0,-43.0,0.636353,0.017151,-0.771179,0.004456,-0.022901,0.0,-0.015267,9.295166,0.104077,-1.890137,-0.324194,-0.04187,-0.027515,0.089722,-0.033496,-0.313428
1621399603.9296148,019,16.0,32.0,38.0,-4.0,-44.0,0.636169,0.017151,-0.771362,0.004089,-0.022901,-0.022901,-0.015267,9.285596,0.081348,-1.868603,-0.333765,-0.070581,0.0,0.0646,-0.063403,-0.327783
1621399603.9398112,019,17.0,28.0,39.0,-7.0,-47.0,0.635925,0.017029,-0.771545,0.003845,-0.015267,-0.022901,-0.015267,9.382495,0.037085,-1.853052,-0.234473,-0.11604,0.019141,0.028711,-0.111255,-0.234473
1621399603.9496539,019,17.0,29.0,38.0,-4.0,-51.0,0.635803,0.016968,-0.771667,0.003784,-0.007634,-0.015267,-0.007634,9.538013,0.00957,-1.862622,-0.078955,-0.143555,0.013159,0.005981,-0.141162,-0.081348
