timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621487376.521724,022,-45.0,-56.0,-71.0,-60.0,-60.0,0.756531,-0.31427,-0.572937,-0.025757,-0.022901,-0.007634,0.0,8.147924,-4.185815,1.222607,-0.50603,0.184229,-0.206958,0.075366,-0.118433,-0.558667
1621487376.5317204,022,-47.0,-54.0,-71.0,-62.0,-59.0,0.756409,-0.314392,-0.572998,-0.025757,0.0,-0.007634,-0.007634,8.193384,-4.242041,1.198682,-0.459375,0.129199,-0.228491,0.088525,-0.159106,-0.49646
1621487376.541802,022,-43.0,-55.0,-70.0,-60.0,-58.0,0.75647,-0.314331,-0.572998,-0.025696,0.007634,0.007634,-0.007634,8.22688,-4.238452,1.181934,-0.427075,0.132788,-0.246436,0.11604,-0.154321,-0.471338
1621487376.551757,022,-46.0,-57.0,-72.0,-62.0,-61.0,0.756531,-0.314148,-0.572937,-0.025696,0.007634,0.007634,-0.007634,8.218506,-4.1906,1.174756,-0.434253,0.178247,-0.256006,0.139966,-0.12561,-0.500049
1621487376.5617497,022,-45.0,-55.0,-65.0,-62.0,-60.0,0.756714,-0.314026,-0.572876,-0.025757,0.0,0.007634,-0.007634,8.187403,-4.137964,1.187915,-0.467749,0.229687,-0.246436,0.139966,-0.089722,-0.551489
1621487376.571766,022,-45.0,-57.0,-68.0,-59.0,-59.0,0.756775,-0.314087,-0.572693,-0.025879,-0.015267,0.007634,0.0,8.145533,-4.067383,1.196289,-0.507227,0.300269,-0.24165,0.150732,-0.043066,-0.616089
1621487376.5818276,022,-46.0,-55.0,-71.0,-59.0,-59.0,0.756714,-0.314331,-0.572632,-0.026123,-0.030534,0.0,0.0,8.116821,-4.031494,1.196289,-0.537134,0.336157,-0.239258,0.153125,-0.022729,-0.659155
1621487376.5916421,022,-47.0,-55.0,-70.0,-62.0,-64.0,0.756531,-0.314819,-0.572632,-0.026306,-0.038168,0.0,0.0,8.109644,-4.072168,1.190308,-0.543115,0.300269,-0.240454,0.137573,-0.055029,-0.648389
1621487376.6016948,022,-47.0,-56.0,-71.0,-64.0,-63.0,0.756287,-0.315369,-0.572571,-0.02655,-0.038168,0.0,0.0,8.106054,-4.154712,1.174756,-0.544312,0.221313,-0.248828,0.112451,-0.123218,-0.614893
1621487376.6118448,022,-47.0,-56.0,-71.0,-58.0,-63.0,0.756104,-0.315979,-0.57251,-0.026733,-0.038168,0.0,0.0,8.102466,-4.250415,1.148438,-0.546704,0.131592,-0.270361,0.094507,-0.206958,-0.5802
