timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621486901.2403436,022,-13.0,-52.0,20.0,-10.0,12.0,0.71228,0.070251,-0.69812,-0.019348,-0.015267,-0.015267,0.0,9.63252,1.246533,-0.058618,-0.086133,0.0,-0.209351,0.205762,0.025122,-0.088525
1621486901.2506194,022,-13.0,-52.0,24.0,-6.0,12.0,0.71228,0.070068,-0.69812,-0.01947,-0.015267,0.0,-0.007634,9.701904,1.232178,-0.052637,-0.016748,-0.011963,-0.203369,0.202173,0.004785,-0.020337
1621486901.2603552,022,-12.0,-52.0,21.0,-6.0,13.0,0.71228,0.069946,-0.69812,-0.019653,-0.015267,0.0,-0.007634,9.681567,1.228589,-0.076563,-0.037085,-0.016748,-0.227295,0.226099,0.003589,-0.04187
1621486901.270472,022,-13.0,-51.0,21.0,-7.0,11.0,0.71228,0.069763,-0.698181,-0.019836,-0.022901,0.0,-0.007634,9.700708,1.213037,-0.084937,-0.019141,-0.0323,-0.235669,0.235669,-0.011963,-0.026318
1621486901.280452,022,-12.0,-51.0,24.0,-5.0,15.0,0.71228,0.069458,-0.698181,-0.02002,-0.030534,0.0,0.0,9.727026,1.193897,-0.089722,0.007178,-0.049048,-0.240454,0.242847,-0.0323,-0.002393
1621486901.2903879,022,-13.0,-52.0,21.0,-7.0,13.0,0.712341,0.069092,-0.698181,-0.020203,-0.030534,0.007634,0.0,9.712671,1.134082,-0.130396,-0.007178,-0.10647,-0.282324,0.288306,-0.08374,-0.023926
1621486901.3004768,022,-12.0,-51.0,22.0,-7.0,14.0,0.71228,0.068726,-0.698242,-0.020264,-0.022901,0.0,0.007634,9.69353,1.098193,-0.13877,-0.026318,-0.137573,-0.289502,0.29668,-0.112451,-0.047852
1621486901.309752,022,-10.0,-54.0,24.0,-7.0,15.0,0.712219,0.06842,-0.698303,-0.020264,-0.022901,-0.007634,0.007634,9.658838,1.111353,-0.119629,-0.061011,-0.120825,-0.269165,0.27395,-0.093311,-0.078955
1621486901.320369,022,-12.0,-53.0,20.0,-7.0,11.0,0.712097,0.067993,-0.698486,-0.020325,-0.022901,-0.015267,0.015267,9.687549,1.161597,-0.069385,-0.033496,-0.0646,-0.215332,0.217725,-0.044263,-0.044263
1621486901.3305435,022,-10.0,-51.0,25.0,-6.0,15.0,0.712036,0.067505,-0.698608,-0.020447,-0.030534,-0.007634,0.015267,9.707886,1.191504,-0.028711,-0.014355,-0.029907,-0.173462,0.174658,-0.015552,-0.020337
