timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621495320.8049977,023,-74.0,-63.0,42.0,-12.0,-7.0,0.867798,0.049316,-0.490662,0.061157,0.053435,0.0,0.076336,8.168262,0.260791,4.98374,-0.235669,0.00957,-0.049048,-0.080151,0.002393,-0.226099
1621495320.814796,023,-75.0,-65.0,46.0,-8.0,-10.0,0.867737,0.049683,-0.490479,0.0625,0.053435,0.0,0.053435,8.04624,0.356494,4.99331,-0.356494,0.111255,-0.04187,-0.163892,0.094507,-0.324194
1621495320.8247337,023,-74.0,-63.0,44.0,-12.0,-10.0,0.867676,0.050293,-0.490479,0.063171,0.038168,-0.015267,0.015267,7.961304,0.425879,4.978955,-0.441431,0.177051,-0.055029,-0.206958,0.155518,-0.401953
1621495320.834842,023,-74.0,-63.0,42.0,-14.0,-38.0,0.867615,0.050842,-0.49054,0.063232,0.022901,-0.022901,-0.015267,7.985229,0.447412,5.045947,-0.418701,0.19021,0.013159,-0.25481,0.160303,-0.346924
1621495320.8447652,023,-75.0,-64.0,43.0,-8.0,-9.0,0.867615,0.051147,-0.49054,0.062866,-0.007634,-0.007634,-0.030534,8.131177,0.376831,5.128491,-0.272754,0.111255,0.095703,-0.236865,0.078955,-0.18064
1621495320.8547077,023,-74.0,-64.0,44.0,-20.0,-11.0,0.867798,0.05072,-0.490295,0.062744,-0.030534,0.022901,0.007634,8.27832,0.193799,5.207446,-0.123218,-0.065796,0.168677,-0.194995,-0.096899,-0.020337
1621495320.8647728,023,-74.0,-63.0,44.0,-10.0,-9.0,0.868103,0.049805,-0.489807,0.063049,-0.038168,0.022901,0.038168,8.135962,0.186621,5.230176,-0.258398,-0.055029,0.18064,-0.275146,-0.095703,-0.129199
1621495320.8747444,023,-74.0,-61.0,44.0,-12.0,-7.0,0.868286,0.048828,-0.489502,0.063232,-0.053435,0.0,0.030534,7.997192,0.185425,5.267261,-0.393579,-0.038281,0.210547,-0.373242,-0.092114,-0.228491
1621495320.884825,023,-74.0,-63.0,48.0,-11.0,-9.0,0.868347,0.047791,-0.489563,0.063232,-0.061069,-0.015267,0.022901,7.917041,0.093311,5.243335,-0.47373,-0.112451,0.185425,-0.381616,-0.16748,-0.312231
1621495320.8947167,023,-74.0,-63.0,44.0,-12.0,-9.0,0.868225,0.046936,-0.489868,0.063171,-0.038168,-0.038168,0.007634,7.883545,-0.022729,5.214624,-0.509619,-0.214136,0.160303,-0.362476,-0.266772,-0.35769
1621495320.9046972,023,-74.0,-69.0,42.0,-10.0,-8.0,0.868042,0.046509,-0.490234,0.063049,-0.022901,-0.045802,-0.007634,7.858423,-0.084937,5.205054,-0.539526,-0.270361,0.15791,-0.367261,-0.322998,-0.385205
1621495320.9149365,023,-74.0,-60.0,45.0,-8.0,-6.0,0.867737,0.046387,-0.490784,0.062805,-0.015267,-0.053435,-0.022901,7.844068,-0.10647,5.203857,-0.559863,-0.290698,0.16748,-0.381616,-0.345728,-0.398364
1621495320.9247932,023,-74.0,-63.0,41.0,-8.0,-7.0,0.867371,0.046448,-0.491516,0.062439,-0.015267,-0.068702,-0.030534,7.876367,-0.108862,5.208642,-0.535937,-0.29668,0.185425,-0.384009,-0.352905,-0.369653
1621495320.9346828,023,-74.0,-60.0,45.0,-13.0,-8.0,0.866943,0.046448,-0.492371,0.062012,-0.015267,-0.068702,-0.030534,7.985229,-0.108862,5.221802,-0.436646,-0.299072,0.215332,-0.35769,-0.352905,-0.270361
1621495320.9448636,023,-74.0,-59.0,44.0,-8.0,-6.0,0.866516,0.046448,-0.493103,0.061523,-0.022901,-0.061069,-0.030534,8.116821,-0.011963,5.286401,-0.313428,-0.205762,0.294287,-0.376831,-0.263184,-0.123218
1621495320.954877,023,-74.0,-61.0,41.0,-11.0,-7.0,0.866394,0.046326,-0.493469,0.060791,-0.038168,-0.038168,-0.038168,8.237646,0.049048,5.316308,-0.196191,-0.149536,0.330176,-0.356494,-0.205762,-0.003589
1621495320.9647498,023,-74.0,-63.0,42.0,-9.0,-7.0,0.866333,0.045959,-0.493652,0.059937,-0.053435,-0.015267,-0.045802,8.279516,0.059814,5.276831,-0.156714,-0.139966,0.294287,-0.307446,-0.187817,0.010767
