timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621514425.4945073,025,-29.0,-38.0,-52.0,-60.0,-37.0,0.528687,0.126831,-0.83905,0.019653,-0.022901,-0.015267,0.007634,8.537915,0.887646,-4.537524,-0.204565,-0.102881,-0.22251,0.303857,-0.022729,-0.094507
1621514425.5044203,025,-31.0,-37.0,-53.0,-59.0,-38.0,0.528503,0.126587,-0.839233,0.019531,-0.022901,-0.007634,0.0,8.549878,0.86731,-4.58418,-0.191406,-0.122021,-0.265576,0.340942,-0.035889,-0.065796
1621514425.5142715,025,-32.0,-37.0,-55.0,-57.0,-37.0,0.528442,0.126404,-0.839294,0.019409,-0.022901,0.0,0.0,8.539111,0.866113,-4.622461,-0.200977,-0.123218,-0.302661,0.376831,-0.029907,-0.057422
1621514425.524509,025,-29.0,-35.0,-59.0,-60.0,-37.0,0.528259,0.126221,-0.839417,0.019104,-0.030534,-0.007634,0.0,8.513989,0.91875,-4.673902,-0.223706,-0.072974,-0.350513,0.417505,0.029907,-0.05144
1621514425.5344164,025,-28.0,-37.0,-58.0,-59.0,-33.0,0.528137,0.125916,-0.8396,0.018494,-0.045802,-0.007634,0.0,8.490064,1.010864,-4.748071,-0.246436,0.010767,-0.421094,0.470142,0.12561,-0.0323
1621514425.5444696,025,-30.0,-36.0,-55.0,-57.0,-37.0,0.528015,0.125366,-0.839783,0.017578,-0.076336,-0.007634,0.007634,8.486475,1.06709,-4.810278,-0.247632,0.058618,-0.479712,0.510815,0.181836,-0.002393
1621514425.5543199,025,-30.0,-37.0,-55.0,-62.0,-37.0,0.528076,0.124451,-0.839905,0.016541,-0.091603,0.007634,0.015267,8.519971,1.047949,-4.878467,-0.212939,0.031104,-0.5479,0.563452,0.15791,0.055029
1621514425.5642588,025,-31.0,-38.0,-58.0,-59.0,-37.0,0.52832,0.123474,-0.839905,0.015564,-0.091603,0.022901,0.015267,8.586963,0.996509,-4.904785,-0.147144,-0.025122,-0.579004,0.576611,0.093311,0.120825
1621514425.5744746,025,-29.0,-19.0,-56.0,-57.0,-37.0,0.528931,0.12262,-0.839661,0.014832,-0.076336,0.053435,0.007634,8.659937,0.911572,-4.883252,-0.080151,-0.114844,-0.569434,0.56106,-0.007178,0.166284
1621514425.5842612,025,-29.0,-36.0,-56.0,-58.0,-38.0,0.529846,0.12207,-0.839172,0.014465,-0.045802,0.076336,0.0,8.707788,0.874487,-4.846167,-0.040674,-0.154321,-0.551489,0.53833,-0.056226,0.189014
1621514425.594459,025,-29.0,-38.0,-56.0,-58.0,-37.0,0.530945,0.121765,-0.838501,0.014221,-0.038168,0.083969,-0.007634,8.706592,0.906787,-4.791138,-0.052637,-0.12561,-0.519189,0.508423,-0.0323,0.165088
1621514425.6042066,025,-31.0,-38.0,-58.0,-56.0,-38.0,0.532104,0.121521,-0.83783,0.013855,-0.038168,0.083969,-0.007634,8.686255,0.996509,-4.737305,-0.08374,-0.043066,-0.489282,0.477319,0.047852,0.131592
1621514425.614391,025,-29.0,-37.0,-58.0,-56.0,-35.0,0.533142,0.121155,-0.837219,0.013306,-0.053435,0.076336,0.0,8.663526,1.081445,-4.678687,-0.11604,0.033496,-0.452197,0.441431,0.122021,0.094507
1621514425.6242468,025,-31.0,-37.0,-56.0,-60.0,-38.0,0.534119,0.120483,-0.83667,0.012634,-0.068702,0.068702,0.007634,8.688647,1.106567,-4.615283,-0.099292,0.05144,-0.409131,0.392383,0.129199,0.090918
1621514425.6342556,025,-26.0,-36.0,-58.0,-58.0,-37.0,0.535095,0.11969,-0.836182,0.012024,-0.068702,0.061069,0.015267,8.724536,1.102978,-4.537524,-0.072974,0.044263,-0.351709,0.332568,0.107666,0.088525
1621514425.644323,025,-29.0,-35.0,-53.0,-55.0,-36.0,0.536133,0.118896,-0.835632,0.011658,-0.053435,0.068702,0.022901,8.746069,1.082642,-4.441821,-0.061011,0.023926,-0.277539,0.266772,0.075366,0.0646
