timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621512792.536011,025,-48.0,-72.0,-38.0,14.0,15.0,0.991516,0.117676,-0.052612,0.015259,0.007634,-0.022901,0.015267,0.967798,2.416504,9.559546,-0.089722,0.144751,0.084937,-0.102881,0.118433,0.105273
1621512792.54567,025,-51.0,-72.0,-65.0,16.0,12.0,0.991455,0.117859,-0.052979,0.015503,0.007634,-0.022901,0.015267,0.986938,2.392578,9.566724,-0.077759,0.117236,0.094507,-0.090918,0.089722,0.110059
1621512792.5557196,025,-48.0,-70.0,-48.0,15.0,11.0,0.991455,0.11792,-0.053284,0.015686,0.0,-0.022901,0.007634,1.041968,2.363867,9.583471,-0.028711,0.088525,0.111255,-0.043066,0.058618,0.124414
1621512792.566023,025,-49.0,-71.0,-47.0,20.0,14.0,0.991394,0.11792,-0.053528,0.015808,-0.007634,-0.007634,0.0,1.086231,2.321997,9.584668,0.00957,0.046655,0.113647,-0.003589,0.017944,0.120825
1621512792.5757647,025,-49.0,-70.0,-48.0,24.0,13.0,0.991455,0.117859,-0.053467,0.015808,-0.007634,0.007634,-0.007634,1.126904,2.302856,9.57749,0.050244,0.028711,0.105273,0.037085,0.003589,0.113647
1621512792.5858574,025,-49.0,-71.0,-46.0,30.0,17.0,0.991455,0.117676,-0.053162,0.015808,-0.015267,0.022901,-0.007634,1.144849,2.325586,9.588257,0.07417,0.055029,0.114844,0.058618,0.027515,0.131592
1621512792.5959547,025,-50.0,-70.0,-49.0,15.0,13.0,0.991516,0.117432,-0.052673,0.015747,-0.022901,0.030534,-0.007634,1.124512,2.335156,9.595434,0.0646,0.068188,0.120825,0.049048,0.038281,0.13877
1621512792.6058538,025,-45.0,-70.0,-47.0,13.0,10.0,0.991577,0.117126,-0.052307,0.015808,-0.022901,0.022901,0.0,1.100586,2.304053,9.594238,0.046655,0.043066,0.117236,0.0323,0.014355,0.128003
1621512792.6159139,025,-49.0,-70.0,-45.0,22.0,11.0,0.991638,0.116882,-0.052063,0.01593,-0.007634,0.007634,0.0,1.077856,2.247827,9.578687,0.028711,-0.007178,0.099292,0.017944,-0.028711,0.096899
1621512792.6258142,025,-45.0,-70.0,-44.0,28.0,13.0,0.991638,0.116882,-0.052124,0.016052,0.007634,-0.007634,0.007634,1.050342,2.204761,9.575098,0.0,-0.050244,0.095703,-0.007178,-0.070581,0.080151
1621512792.6359615,025,-48.0,-70.0,-49.0,19.0,15.0,0.991577,0.117065,-0.052368,0.016235,0.015267,-0.022901,0.007634,1.046753,2.19519,9.589453,-0.007178,-0.062207,0.111255,-0.014355,-0.086133,0.092114
1621512792.6459007,025,-49.0,-70.0,-45.0,19.0,12.0,0.991516,0.11731,-0.052795,0.016418,0.015267,-0.030534,0.007634,1.059912,2.192798,9.606201,-0.003589,-0.069385,0.130396,-0.013159,-0.096899,0.108862
1621512792.6558378,025,-47.0,-71.0,-46.0,18.0,14.0,0.991455,0.117554,-0.053162,0.016541,0.015267,-0.022901,0.0,1.089819,2.19519,9.60979,0.017944,-0.071777,0.136377,0.007178,-0.100488,0.11604
1621512792.6658292,025,-48.0,-70.0,-46.0,19.0,15.0,0.991455,0.117676,-0.053284,0.016541,0.007634,-0.007634,0.0,1.113745,2.210742,9.620557,0.039478,-0.058618,0.147144,0.026318,-0.089722,0.132788
1621512792.6757684,025,-51.0,-70.0,-47.0,16.0,10.0,0.991455,0.117737,-0.053162,0.016541,0.0,0.007634,-0.007634,1.110156,2.245435,9.606201,0.038281,-0.025122,0.132788,0.025122,-0.053833,0.12561
1621512792.6858091,025,-49.0,-70.0,-47.0,19.0,12.0,0.991455,0.117676,-0.052917,0.016479,-0.007634,0.015267,-0.007634,1.086231,2.268164,9.596631,0.019141,-0.001196,0.123218,0.005981,-0.028711,0.120825
1621512792.69569,025,-47.0,-70.0,-43.0,20.0,10.0,0.991516,0.117554,-0.052612,0.016418,-0.015267,0.015267,-0.007634,1.052734,2.287305,9.587061,-0.007178,0.019141,0.112451,-0.019141,-0.007178,0.111255
1621512792.7058144,025,-48.0,-70.0,-47.0,21.0,12.0,0.991516,0.117432,-0.052368,0.016357,-0.007634,0.0,-0.007634,1.022827,2.26936,9.573901,-0.0323,0.003589,0.098096,-0.04187,-0.019141,0.092114
1621512792.715772,025,-45.0,-70.0,-43.0,19.0,16.0,0.991516,0.117432,-0.052368,0.016357,0.0,-0.007634,0.0,1.003687,2.238257,9.557154,-0.05144,-0.026318,0.081348,-0.057422,-0.045459,0.066992
1621512792.7257457,025,-47.0,-70.0,-46.0,22.0,10.0,0.991516,0.117615,-0.052612,0.016479,0.015267,-0.022901,0.007634,1.020435,2.226294,9.55835,-0.039478,-0.04187,0.08374,-0.045459,-0.061011,0.066992
1621512792.7359002,025,-49.0,-70.0,-50.0,19.0,14.0,0.991455,0.11792,-0.052856,0.016602,0.015267,-0.015267,0.0,1.056323,2.243042,9.57749,-0.008374,-0.031104,0.104077,-0.016748,-0.053833,0.092114
1621512792.7458751,025,-47.0,-70.0,-45.0,19.0,15.0,0.991394,0.118103,-0.052917,0.016663,0.007634,0.0,0.0,1.087427,2.287305,9.596631,0.020337,0.00957,0.12561,0.005981,-0.019141,0.12561
1621512792.7557163,025,-48.0,-70.0,-46.0,17.0,15.0,0.991394,0.118225,-0.052795,0.016602,-0.007634,0.007634,-0.007634,1.094604,2.336353,9.614575,0.029907,0.056226,0.143555,0.011963,0.020337,0.154321
1621512792.765851,025,-47.0,-70.0,-45.0,18.0,14.0,0.991455,0.118103,-0.05249,0.016541,-0.015267,0.015267,-0.015267,1.081445,2.348315,9.620557,0.022729,0.069385,0.147144,0.003589,0.0323,0.160303
1621512792.7756565,025,-47.0,-70.0,-48.0,20.0,14.0,0.991455,0.11792,-0.052185,0.016418,-0.015267,0.007634,-0.015267,1.058716,2.329175,9.620557,0.005981,0.053833,0.147144,-0.010767,0.016748,0.154321
1621512792.7857983,025,-47.0,-70.0,-45.0,19.0,17.0,0.991516,0.117737,-0.052002,0.016235,-0.015267,0.0,-0.015267,1.047949,2.299268,9.624146,0.0,0.027515,0.14834,-0.015552,-0.007178,0.149536
1621512792.7958586,025,-47.0,-70.0,-46.0,20.0,16.0,0.991516,0.117676,-0.051941,0.016113,-0.007634,0.0,-0.007634,1.039575,2.28252,9.634912,-0.005981,0.011963,0.159106,-0.021533,-0.025122,0.155518
1621512792.8057556,025,-47.0,-70.0,-47.0,21.0,15.0,0.991516,0.117615,-0.051941,0.016052,-0.007634,0.0,-0.007634,1.026416,2.274146,9.636108,-0.019141,0.004785,0.160303,-0.034692,-0.0323,0.153125
1621512792.8157427,025,-47.0,-70.0,-45.0,19.0,15.0,0.991516,0.117554,-0.05188,0.015991,0.0,-0.007634,-0.007634,0.998901,2.244238,9.624146,-0.045459,-0.023926,0.14834,-0.058618,-0.058618,0.132788
1621512792.8258405,025,-51.0,-70.0,-46.0,23.0,13.0,0.991516,0.117676,-0.051941,0.015991,0.007634,-0.007634,-0.007634,0.984546,2.219116,9.621753,-0.061011,-0.05144,0.145947,-0.071777,-0.084937,0.122021
1621512792.8357785,025,-47.0,-70.0,-48.0,14.0,15.0,0.991516,0.11792,-0.052063,0.01593,0.015267,-0.015267,-0.007634,0.994116,2.255005,9.640894,-0.053833,-0.020337,0.166284,-0.068188,-0.059814,0.149536
