timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621514188.7033823,025,-41.0,-38.0,-49.0,-55.0,-35.0,0.716919,0.122803,-0.686279,-0.001526,-0.007634,0.015267,-0.022901,9.371729,1.641309,0.143555,-0.266772,-0.104077,-0.129199,0.128003,-0.0323,-0.283521
1621514188.7136626,025,-41.0,-38.0,-47.0,-55.0,-36.0,0.717041,0.122925,-0.686096,-0.001648,0.0,0.007634,-0.022901,9.366943,1.654468,0.181836,-0.270361,-0.094507,-0.094507,0.092114,-0.028711,-0.284717
1621514188.7234015,025,-39.0,-38.0,-49.0,-55.0,-36.0,0.717163,0.123108,-0.685913,-0.00177,-0.007634,0.007634,-0.015267,9.356176,1.681982,0.19978,-0.279932,-0.071777,-0.081348,0.075366,-0.007178,-0.289502
1621514188.7340622,025,-42.0,-39.0,-49.0,-57.0,-33.0,0.717224,0.12323,-0.685852,-0.001953,-0.007634,-0.007634,-0.015267,9.358569,1.720264,0.220117,-0.277539,-0.038281,-0.062207,0.050244,0.020337,-0.281128
1621514188.7433982,025,-40.0,-38.0,-47.0,-56.0,-37.0,0.717163,0.123291,-0.685913,-0.002136,-0.007634,-0.007634,-0.015267,9.358569,1.732227,0.227295,-0.277539,-0.028711,-0.052637,0.039478,0.028711,-0.278735
1621514188.7533846,025,-41.0,-40.0,-49.0,-57.0,-33.0,0.717041,0.123413,-0.686035,-0.002319,0.0,-0.015267,-0.015267,9.372925,1.742993,0.227295,-0.261987,-0.021533,-0.049048,0.035889,0.0323,-0.261987
1621514188.7632773,025,-41.0,-39.0,-49.0,-60.0,-35.0,0.716919,0.123596,-0.686096,-0.00238,0.0,-0.015267,-0.015267,9.400439,1.765723,0.25481,-0.234473,-0.002393,-0.019141,0.004785,0.040674,-0.230884
1621514188.7732496,025,-39.0,-38.0,-47.0,-56.0,-36.0,0.716919,0.123718,-0.686096,-0.002502,0.0,-0.007634,-0.007634,9.431543,1.808789,0.277539,-0.202173,0.035889,0.003589,-0.020337,0.068188,-0.191406
1621514188.7833633,025,-39.0,-38.0,-48.0,-55.0,-33.0,0.716858,0.123779,-0.686096,-0.002563,-0.007634,-0.007634,0.0,9.444702,1.844678,0.278735,-0.189014,0.070581,0.004785,-0.026318,0.099292,-0.172266
1621514188.793487,025,-40.0,-38.0,-48.0,-66.0,-55.0,0.716858,0.123718,-0.686157,-0.002625,-0.007634,-0.007634,0.0,9.443506,1.844678,0.263184,-0.19021,0.070581,-0.008374,-0.014355,0.102881,-0.173462
1621514188.8033009,025,-41.0,-40.0,-49.0,-55.0,-35.0,0.716736,0.123596,-0.686279,-0.002625,-0.007634,-0.015267,0.007634,9.437525,1.809985,0.236865,-0.196191,0.038281,-0.031104,0.011963,0.075366,-0.186621
1621514188.8132768,025,-39.0,-38.0,-48.0,-59.0,-35.0,0.716553,0.123474,-0.686523,-0.002502,0.0,-0.015267,0.007634,9.430346,1.742993,0.194995,-0.204565,-0.023926,-0.068188,0.058618,0.023926,-0.206958
