timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1621513517.0163963,025,-26.0,-60.0,-72.0,13.0,28.0,0.802368,0.077698,-0.571655,0.152649,-0.030534,0.015267,0.030534,8.902783,-0.707007,3.014648,-0.319409,-0.217725,-0.260791,0.209351,-0.175854,-0.376831
1621513517.0266814,025,-26.0,-57.0,-71.0,13.0,27.0,0.802368,0.076965,-0.571594,0.153259,0.0,0.015267,0.030534,8.980542,-0.866113,3.048145,-0.239258,-0.358887,-0.230884,0.253613,-0.30625,-0.283521
1621513517.0365107,025,-26.0,-57.0,-67.0,16.0,26.0,0.80249,0.07666,-0.571289,0.153992,0.022901,0.030534,0.022901,9.045141,-0.955835,3.106763,-0.171069,-0.436646,-0.18064,0.256006,-0.384009,-0.197388
1621513517.0464919,025,-26.0,-55.0,-74.0,15.0,26.0,0.802734,0.07666,-0.570679,0.154846,0.045802,0.038168,0.022901,9.090601,-1.019238,3.183325,-0.120825,-0.492871,-0.117236,0.233276,-0.447412,-0.12561
1621513517.0564637,025,-26.0,-60.0,-71.0,11.0,26.0,0.803101,0.076843,-0.569885,0.155884,0.053435,0.053435,0.022901,9.082227,-0.996509,3.271851,-0.122021,-0.46416,-0.045459,0.160303,-0.441431,-0.104077
1621513517.0665097,025,-26.0,-59.0,-71.0,19.0,25.0,0.803589,0.077087,-0.56897,0.156799,0.045802,0.053435,0.022901,9.012842,-0.869702,3.374732,-0.185425,-0.334961,0.035889,0.025122,-0.355298,-0.142358
1621513517.0764155,025,-27.0,-55.0,-71.0,15.0,26.0,0.804016,0.077271,-0.568115,0.157471,0.022901,0.045802,0.015267,8.92312,-0.720166,3.44292,-0.267969,-0.184229,0.086133,-0.094507,-0.242847,-0.211743
1621513517.0866404,025,-27.0,-57.0,-72.0,18.0,29.0,0.804321,0.077148,-0.567566,0.157837,0.007634,0.022901,0.015267,8.846558,-0.695044,3.426172,-0.33855,-0.154321,0.056226,-0.100488,-0.217725,-0.289502
1621513517.0965602,025,-27.0,-56.0,-71.0,18.0,26.0,0.804443,0.077087,-0.567322,0.158264,0.015267,0.007634,0.007634,8.834595,-0.791943,3.354394,-0.349316,-0.246436,-0.020337,-0.003589,-0.282324,-0.320605
1621513517.106562,025,-26.0,-59.0,-68.0,18.0,25.0,0.804382,0.077271,-0.567261,0.158813,0.038168,0.0,0.0,8.884839,-0.910376,3.274243,-0.297876,-0.362476,-0.101685,0.123218,-0.358887,-0.293091
